Player,wk7,wk6,wk5,wk4,wk3,wk2,wk1
Nick Vannett(TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Fraboni(DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Muse(MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nate Adkins(DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Wilcox(NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
N'Keal Harry(MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikola Kalinic(LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shawn Bowman(JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Payne Durham(TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tucker Fisk(LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Yassmin(DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tip Reiman(ARI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommy Sweeney(CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Vokolek(ARI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Pennix(IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Treyton Welch(NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Davis(GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peyton Hendershot(KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Mabry(SEA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Ott(WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Mallory(IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Davidson(BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Wood(NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zack Kuntz(NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Odukoya(TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teagan Quitoriano(HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanner Taula(TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanner McLachlan(CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanner Hudson(CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanner Conner(MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stone Smartt(LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Carlson(CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Orzech(GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane Zylstra(DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean McKeon(IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sammis Reyes(MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Dwelley(ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodney Williams(PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quintin Morris(BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
