Player,wk7,wk6,wk5,wk4,wk3,wk2,wk1
Curtis Samuel(BUF),15.5,15.5,15.5,15.5,15.5,15.5,15.5
Joshua Palmer(LAC),14.4,14.4,14.4,14.4,14.4,14.4,14.4
Ja'Lynn Polk(NE),13.1,13.1,13.1,13.1,13.1,13.1,13.1
Jordan Whittington(LAR),13.0,13.0,13.0,13.0,13.0,13.0,13.0
Adonai Mitchell(IND),12.7,12.7,12.7,12.7,12.7,12.7,12.7
Rashod Bateman(BAL),11.2,11.2,11.2,11.2,11.2,11.2,11.2
Jalen Nailor(MIN),9.9,9.9,9.9,9.9,9.9,9.9,9.9
Ricky Pearsall(SF),9.1,9.1,9.1,9.1,9.1,9.1,9.1
Andrei Iosivas(CIN),8.5,8.5,8.5,8.5,8.5,8.5,8.5
Jahan Dotson(PHI),8.1,8.1,8.1,8.1,8.1,8.1,8.1
Greg Dortch(ARI),7.9,7.9,7.9,7.9,7.9,7.9,7.9
Tyler Johnson(LAR),7.7,7.7,7.7,7.7,7.7,7.7,7.7
Xavier Hutchinson(HOU),5.2,5.2,5.2,5.2,5.2,5.2,5.2
Luke McCaffrey(WAS),4.1,4.1,4.1,4.1,4.1,4.1,4.1
Josh Reynolds(DEN),3.6,3.6,3.6,3.6,3.6,3.6,3.6
Tyler Boyd(TEN),3.4,3.4,3.4,3.4,3.4,3.4,3.4
Marvin Mims Jr.(DEN),3.3,3.3,3.3,3.3,3.3,3.3,3.3
Jalen McMillan(TB),3.2,3.2,3.2,3.2,3.2,3.2,3.2
Odell Beckham Jr.(MIA),2.9,2.9,2.9,2.9,2.9,2.9,2.9
Troy Franklin(DEN),2.8,2.8,2.8,2.8,2.8,2.8,2.8
Jalin Hyatt(NYG),2.6,2.6,2.6,2.6,2.6,2.6,2.6
Roman Wilson(PIT),2.6,2.6,2.6,2.6,2.6,2.6,2.6
Malachi Corley(NYJ),2.5,2.5,2.5,2.5,2.5,2.5,2.5
DJ Chark Jr.(LAC),2.4,2.4,2.4,2.4,2.4,2.4,2.4
A.T. Perry(DEN),2.3,2.3,2.3,2.3,2.3,2.3,2.3
Jermaine Burton(CIN),2.3,2.3,2.3,2.3,2.3,2.3,2.3
Jonathan Mingo(CAR),2.1,2.1,2.1,2.1,2.1,2.1,2.1
Kendrick Bourne(NE),2.1,2.1,2.1,2.1,2.1,2.1,2.1
Zay Jones(ARI),2.1,2.1,2.1,2.1,2.1,2.1,2.1
Javon Baker(NE),1.9,1.9,1.9,1.9,1.9,1.9,1.9
Elijah Moore(CLE),1.8,1.8,1.8,1.8,1.8,1.8,1.8
Calvin Austin III(PIT),1.5,1.5,1.5,1.5,1.5,1.5,1.5
Devontez Walker(BAL),1.5,1.5,1.5,1.5,1.5,1.5,1.5
K.J. Osborn(NE),1.5,1.5,1.5,1.5,1.5,1.5,1.5
Treylon Burks(TEN),1.4,1.4,1.4,1.4,1.4,1.4,1.4
Justin Watson(KC),1.3,1.3,1.3,1.3,1.3,1.3,1.3
Brenden Rice(LAC),1.3,1.3,1.3,1.3,1.3,1.3,1.3
Noah Brown(WAS),1.2,1.2,1.2,1.2,1.2,1.2,1.2
Malik Washington(MIA),1.2,1.2,1.2,1.2,1.2,1.2,1.2
Trey Palmer(TB),1.0,1.0,1.0,1.0,1.0,1.0,1.0
KaVontae Turpin(DAL),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lil'Jordan Humphrey(DEN),0.9,0.9,0.9,0.9,0.9,0.9,0.9
Van Jefferson(PIT),0.9,0.9,0.9,0.9,0.9,0.9,0.9
Bo Melton(GB),0.8,0.8,0.8,0.8,0.8,0.8,0.8
Rondale Moore(ATL),0.8,0.8,0.8,0.8,0.8,0.8,0.8
Devaughn Vele(DEN),0.8,0.8,0.8,0.8,0.8,0.8,0.8
Dyami Brown(WAS),0.7,0.7,0.7,0.7,0.7,0.7,0.7
Kalif Raymond(DET),0.7,0.7,0.7,0.7,0.7,0.7,0.7
Xavier Gipson(NYJ),0.7,0.7,0.7,0.7,0.7,0.7,0.7
Dee Williams(SEA),0.7,0.7,0.7,0.7,0.7,0.7,0.7
Olamide Zaccheaus(WAS),0.6,0.6,0.6,0.6,0.6,0.6,0.6
Kadarius Toney(CLE),0.6,0.6,0.6,0.6,0.6,0.6,0.6
