year,week,gameID,gameDate,name,team,abbr,homeAway,opponent,draftkings_moneyline,draftkings_spread,draftkings_ou,draftkings_score,draftkings_oppScore,fanduel_moneyline,fanduel_spread,fanduel_ou,fanduel_score,fanduel_oppScore,betrivers_moneyline,betrivers_spread,betrivers_ou,betrivers_score,betrivers_oppScore,mgm_moneyline,mgm_spread,mgm_ou,mgm_score,mgm_oppScore
,,,,Tim Boyle,Dolphins,,,,,,,,,,,,,,,,,,,,,,,
2024.0,6.0,2656771.0,2024-10-13 13:00:00,Davis Mills,Texans,HOU,away,Patriots,-325.0,-7.0,38.0,22.5,15.5,-320.0,-7.0,38.5,22.8,15.8,-315.0,-7.0,38.0,22.5,15.5,-350.0,-7.0,38.0,22.5,15.5
2024.0,6.0,2656805.0,2024-10-14 20:15:00,Tyrod Taylor,Jets,NYJ,home,Bills,114.0,2.0,41.0,19.5,21.5,120.0,2.5,40.5,19.0,21.5,118.0,2.5,41.0,19.3,21.8,120.0,2.5,41.0,19.3,21.8
2024.0,6.0,2656789.0,2024-10-13 16:05:00,Taylor Heinicke,Chargers,LAC,away,Broncos,-155.0,-3.0,35.5,19.3,16.3,-154.0,-3.0,35.5,19.3,16.3,-162.0,-3.0,35.5,19.3,16.3,-155.0,-3.0,35.5,19.3,16.3
,,,,Nick Mullens,Vikings,,,,,,,,,,,,,,,,,,,,,,,
2024.0,6.0,2656783.0,2024-10-13 13:00:00,Adonai Mitchell,Colts,IND,away,Titans,-112.0,-1.0,43.0,22.0,21.0,-112.0,-1.5,43.5,22.5,21.0,-115.0,-1.0,43.0,22.0,21.0,-120.0,-1.0,43.0,22.0,21.0
2024.0,6.0,2656572.0,2024-10-13 09:30:00,Mac Jones,Jaguars,JAX,away,Bears,114.0,2.0,45.0,21.5,23.5,110.0,1.5,44.5,21.5,23.0,100.0,1.5,44.5,21.5,23.0,110.0,2.0,45.0,21.5,23.5
2024.0,6.0,2656771.0,2024-10-13 13:00:00,Drake Maye,Patriots,NE,home,Texans,260.0,7.0,38.0,15.5,22.5,260.0,7.0,38.5,15.8,22.8,250.0,7.0,38.0,15.5,22.5,260.0,7.0,38.0,15.5,22.5
2024.0,6.0,2656791.0,2024-10-13 16:05:00,Kyle Allen,Steelers,PIT,away,Raiders,-162.0,-3.0,36.5,19.8,16.8,-152.0,-3.0,36.5,19.8,16.8,-167.0,-3.0,36.5,19.8,16.8,-160.0,-3.0,36.5,19.8,16.8
2024.0,6.0,2656797.0,2024-10-13 16:25:00,Jack Fox,Lions,DET,away,Cowboys,-155.0,-3.0,52.0,27.5,24.5,-174.0,-3.0,52.5,27.8,24.8,-159.0,-3.0,52.5,27.8,24.8,-160.0,-3.0,52.0,27.5,24.5
2024.0,6.0,2656773.0,2024-10-13 13:00:00,Jake Haener,Saints,NO,home,Buccaneers,145.0,3.5,41.5,19.0,22.5,156.0,3.5,41.5,19.0,22.5,155.0,3.5,41.5,19.0,22.5,155.0,3.5,41.5,19.0,22.5
