year,week,player_id,player,position,team,points,points_ppr,points_half,rushing_attempts,rushing_yards,rushing_tds,receptions,reception_yards,reception_tds
2024,6,4240021,Cam Akers,RB,HOU,2.48,2.87,2.68,4.26,14.82,0.1,0.39,3.2,0.01
2024,6,4242431,Ty Chandler,RB,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,15864,Geno Smith,RB,SEA,17.82,17.82,17.82,,,,,,
2024,6,4685247,Braelon Allen,RB,NYJ,6.55,8.1,7.32,8.68,38.47,0.21,1.55,11.21,0.06
2024,6,4429084,Anthony Richardson,RB,IND,17.45,17.45,17.45,,,,,,
2024,6,4682745,Jaylen Wright,RB,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,4361529,Isiah Pacheco,RB,KC,,,,,,,,,
2024,6,3122840,Deshaun Watson,RB,CLE,14.25,14.25,14.25,,,,,,
2024,6,4048244,Alexander Mattison,RB,LV,7.1,9.12,8.11,9.23,38.79,0.24,2.02,15.07,0.08
2024,6,4426338,Bo Nix,RB,DEN,14.58,14.58,14.58,,,,,,
2024,6,4714365,Carson Steele,RB,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,4242512,Malik Willis,RB,GB,0.0,0.0,0.0,,,,,,
2024,6,3051926,Gus Edwards,RB,LAC,4.91,5.26,5.09,8.1,34.58,0.2,0.34,2.57,0.01
2024,6,3127586,Jeremy McNichols,RB,WSH,0.61,0.84,0.73,0.58,3.33,0.01,0.23,1.59,0.01
2024,6,4431611,Caleb Williams,RB,CHI,16.28,16.28,16.28,,,,,,
2024,6,4362249,Jayden Reed,RB,GB,9.93,14.75,12.34,,,,4.83,63.01,0.41
2024,6,3917792,Daniel Jones,RB,NYG,17.55,17.55,17.55,,,,,,
2024,6,4361741,Brock Purdy,RB,SF,18.7,18.7,18.7,,,,,,
2024,6,4722893,Jaleel McLaughlin,RB,DEN,5.59,7.34,6.46,8.28,32.07,0.18,1.75,11.19,0.05
2024,6,3052587,Baker Mayfield,RB,TB,17.01,17.01,17.01,,,,,,
2024,6,3051392,Ezekiel Elliott,RB,DAL,4.35,5.68,5.02,5.46,21.3,0.17,1.33,9.13,0.06
2024,6,4045163,Miles Sanders,RB,CAR,3.82,5.05,4.44,5.89,22.78,0.13,1.23,7.55,0.02
2024,6,2980453,Jamaal Williams,RB,NO,3.26,4.21,3.74,5.18,18.03,0.14,0.95,5.62,0.02
2024,6,3125116,D'Onta Foreman,RB,CLE,2.99,3.42,3.21,6.29,20.17,0.11,0.43,3.03,0.01
2024,6,4038441,Justice Hill,RB,BAL,5.43,8.23,6.83,3.98,16.29,0.12,2.8,21.72,0.16
2024,6,15807,Cordarrelle Patterson,RB,PIT,,,,,,,,,
2024,6,4361418,Will Levis,RB,TEN,14.6,14.6,14.6,,,,,,
2024,6,2576414,Raheem Mostert,RB,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,4428557,Tyjae Spears,RB,TEN,7.22,10.04,8.63,7.71,31.98,0.2,2.82,22.34,0.11
2024,6,4362748,Tyler Badie,RB,DEN,,,,,,,,,
2024,6,3139477,Patrick Mahomes,RB,KC,,,,,,,,,
2024,6,4426386,Roschon Johnson,RB,CHI,5.91,6.95,6.43,7.63,31.58,0.31,1.04,7.37,0.05
2024,6,4429275,Trey Benson,RB,ARI,2.01,2.38,2.19,2.96,12.71,0.07,0.37,2.59,0.02
2024,6,2468609,Taysom Hill,RB,NO,,,,,,,,,
2024,6,4362478,Emari Demercado,RB,ARI,1.71,2.45,2.08,1.66,8.13,0.05,0.74,5.05,0.03
2024,6,4429501,Ray Davis,RB,BUF,2.41,3.12,2.76,2.76,12.12,0.08,0.72,5.04,0.04
2024,6,4432577,C.J. Stroud,RB,HOU,17.8,17.8,17.8,,,,,,
2024,6,4360310,Trevor Lawrence,RB,JAX,15.77,15.77,15.77,,,,,,
2024,6,4241401,Trey Sermon,RB,IND,5.08,5.81,5.44,9.41,30.71,0.21,0.73,5.37,0.03
2024,6,3912547,Sam Darnold,RB,MIN,0.0,0.0,0.0,,,,,,
2024,6,4569987,Jaylen Warren,RB,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,4429096,Blake Corum,RB,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,2578570,Jacoby Brissett,RB,NE,0.0,0.0,0.0,,,,,,
2024,6,4243003,Ronnie Rivers,RB,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,4035671,Tyler Huntley,RB,MIA,0.0,0.0,0.0,,,,,,
2024,6,8439,Aaron Rodgers,RB,NYJ,14.93,14.93,14.93,,,,,,
2024,6,2576336,Ameer Abdullah,RB,LV,1.66,2.5,2.08,2.25,7.31,0.03,0.84,6.29,0.02
2024,6,3915411,Ty Johnson,RB,BUF,2.17,3.18,2.68,2.11,7.64,0.05,1.01,7.78,0.06
2024,6,4683062,Xavier Worthy,RB,KC,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024,6,4372561,Isaac Guerendo,RB,SF,2.01,2.37,2.19,3.65,12.08,0.08,0.36,2.52,0.01
2024,6,2983509,Dare Ogunbowale,RB,HOU,2.94,4.63,3.78,3.34,9.65,0.06,1.69,13.43,0.05
2024,6,3122976,Jeff Wilson Jr.,RB,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,3116389,Samaje Perine,RB,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,3139602,D'Ernest Johnson,RB,JAX,0.82,1.12,0.97,0.65,4.98,0.01,0.31,2.27,0.01
2024,6,3915511,Joe Burrow,RB,CIN,19.1,19.1,19.1,,,,,,
2024,6,4038524,Gardner Minshew,RB,LV,,,,,,,,,
2024,6,3126486,Deebo Samuel Sr.,RB,SF,10.19,14.34,12.26,,,,4.15,59.58,0.34
2024,6,4241389,CeeDee Lamb,RB,DAL,12.43,18.98,15.71,,,,6.55,86.07,0.51
2024,6,3116406,Tyreek Hill,RB,MIA,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024,6,4366031,Tank Dell,RB,HOU,8.79,13.05,10.92,,,,4.27,59.74,0.36
2024,6,4241479,Tua Tagovailoa,RB,MIA,,,,,,,,,
2024,6,4032473,Rashid Shaheed,RB,NO,8.01,12.24,10.13,,,,4.23,58.75,0.29
2024,6,4429615,Zay Flowers,RB,BAL,9.0,13.95,11.48,,,,4.95,61.3,0.42
2024,6,4429676,Tyler Goodson,RB,IND,1.53,1.9,1.72,2.56,8.05,0.05,0.37,2.85,0.02
2024,6,4685720,Bryce Young,RB,CAR,0.0,0.0,0.0,,,,,,
2024,6,11252,Joe Flacco,RB,IND,0.0,0.0,0.0,,,,,,
2024,6,4036211,DJ Turner,RB,LV,3.46,5.47,4.47,,,,2.02,26.24,0.1
2024,6,2577417,Dak Prescott,RB,DAL,18.89,18.89,18.89,,,,,,
