player_name,2024,2023,2022,2021,2020,2019,2018,2017
J.Smith-Schuster,1.0,5.0,10.0,4.0,16.0,8.0,15.0,10.0
D.Hopkins,1.0,16.0,9.0,6.0,15.0,17.0,17.0,14.0
O.Zaccheaus,1.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0
D.Vele,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K.Turpin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.Addison,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Brown,1.0,15.0,19.0,18.0,22.0,10.0,15.0,14.0
A.Pierce,1.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0
T.Irwin,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
S.Shepard,1.0,1.0,2.0,5.0,11.0,10.0,14.0,8.0
V.Jefferson,1.0,3.0,5.0,12.0,4.0,0.0,0.0,0.0
C.Austin,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
T.Johnson,1.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0
X.Worthy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T.Franklin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Thielen,1.0,14.0,12.0,10.0,12.0,7.0,14.0,18.0
C.Watson,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0
B.Covey,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M.Brown,0.0,11.0,11.0,16.0,15.0,7.0,0.0,0.0
T.Pryor,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
T.Patrick,0.0,0.0,0.0,11.0,8.0,3.0,4.0,0.0
M.Callaway,0.0,0.0,4.0,8.0,2.0,0.0,0.0,0.0
M.Boykin,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
M.Bandy,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
M.Ateman,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
L.Treadwell,0.0,0.0,1.0,7.0,0.0,1.0,3.0,1.0
L.Shenault,0.0,0.0,1.0,11.0,8.0,0.0,0.0,0.0
M.Bryant,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0
R.Moore,0.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0
M.Campanaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
M.Clark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
T.Quinn,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
M.Crabtree,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0
T.Palmer,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
M.Gallup,0.0,7.0,10.0,8.0,13.0,12.0,10.0,0.0
M.Goodwin,0.0,0.0,5.0,1.0,0.0,0.0,4.0,12.0
T.Montgomery,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
M.Hall,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
M.Hardman,0.0,1.0,3.0,8.0,6.0,4.0,0.0,0.0
M.Harris,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
T.McBride,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
T.Marshall,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0
L.Murphy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
T.Sharpe,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0
T.Rudolph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
K.Stills,0.0,0.0,0.0,3.0,0.0,7.0,7.0,11.0
Z.Jones,0.0,7.0,15.0,8.0,1.0,1.0,12.0,9.0
K.Harmon,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
K.Hinton,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
K.Hodge,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
K.Johnson,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
K.Kirkwood,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
X.Gipson,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
K.Philips,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
K.Raymond,0.0,2.0,7.0,8.0,0.0,0.0,0.0,0.0
W.Snead,0.0,0.0,0.0,0.0,5.0,5.0,13.0,0.0
W.Fuller,0.0,0.0,0.0,1.0,10.0,8.0,5.0,7.0
V.Smith,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
K.Toney,0.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0
T.Scott,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
