firstName,lastName,team,week,red_zone_rush_att,red_zone_rush_yds,red_zone_rush_y/a,red_zone_rush_td,red_zone_rush_pct,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_tgt_pct
Jaylen,Warren,PIT,6,0,0,0,0,0.0%,0,0,0%,0,0,0,0%
Kimani,Vidal,LAC,6,1,-1,-1.0,0,20.0%,0,0,0%,0,0,0,0.0%
Ezekiel,Elliott,DAL,6,1,-1,-1.0,0,100.0%,0,0,0%,0,0,0,0%
Terrell,Jennings,NE,6,1,-1,-1.0,0,50.0%,0,0,0%,0,0,0,0.0%
Onta,Foreman,CLE,6,1,-1,-1.0,0,100.0%,0,0,0%,0,0,0,0%
Aaron,Shampklin,PIT,6,1,-2,-2.0,0,33.3%,0,0,0%,0,0,0,0%
Isaac,Guerendo,SF,6,2,-2,-1.0,0,25.0%,0,0,0%,0,0,0,0.0%
Trey,Sermon,IND,6,3,-2,-0.7,0,60.0%,0,0,0%,0,0,0,0.0%
Ameer,Abdullah,LV,6,2,10,5.0,0,40.0%,0,0,0%,0,0,0,0%
,,,7,,,,,,,,,,,,
Tank,Bigsby,JAC,7,14,59,4.2,2,87.5%,0,0,0%,0,0,0,0.0%
Walker,III,SEA,7,1,20,20.0,1,100.0%,1,1,100.0%,17,17.0,1,100.0%
Joe,Mixon,HOU,7,7,21,3.0,2,87.5%,0,0,0%,0,0,0,0.0%
Javonte,Williams,DEN,7,4,20,5.0,2,100.0%,0,0,0%,0,0,0,0%
Kyren,Williams,LAR,7,4,19,4.8,2,100.0%,0,0,0%,0,0,0,0%
Kareem,Hunt,KC,7,7,16,2.3,2,100.0%,1,1,100.0%,3,3.0,0,100.0%
Najee,Harris,PIT,7,8,30,3.8,1,72.7%,0,0,0%,0,0,0,0.0%
,,,7,5,26,5.2,1,62.5%,0,0,0%,0,0,0,0.0%
Derrick,Henry,BAL,7,3,9,3.0,0,100.0%,1,1,100.0%,13,13.0,1,50.0%
Ray,Davis,BUF,7,2,19,9.5,1,40.0%,0,0,0%,0,0,0,0.0%
Justice,Hill,BAL,7,0,0,0,0,0.0%,1,1,100.0%,18,18.0,1,50.0%
JaMycal,Hasty,NE,7,0,0,0,0,0%,1,1,100.0%,16,16.0,1,100.0%
Breece,Hall,NYJ,7,2,15,7.5,1,100.0%,0,0,0%,0,0,0,0%
Chuba,Hubbard,CAR,7,2,13,6.5,1,66.7%,0,0,0%,0,0,0,0%
Rachaad,White,TB,7,0,0,0,0,0.0%,2,2,100.0%,13,6.5,1,100.0%
Saquon,Barkley,PHI,7,4,11,2.8,1,44.4%,0,0,0%,0,0,0,0%
James,Cook,BUF,7,3,11,3.7,1,60.0%,0,0,0%,0,0,0,0.0%
Bijan,Robinson,ATL,7,6,10,1.7,1,100.0%,0,0,0%,0,0,0,0%
Jahmyr,Gibbs,DET,7,2,10,5.0,1,66.7%,0,0,0%,0,0,0,0%
Tyler,Goodson,IND,7,3,8,2.7,1,75.0%,0,0,0%,0,0,0,0%
Bucky,Irving,TB,7,3,8,2.7,1,100.0%,0,0,0%,0,0,0,0.0%
Nick,Chubb,CLE,7,3,6,2.0,1,100.0%,0,0,0%,0,0,0,0%
Josh,Jacobs,GB,7,1,1,1.0,0,50.0%,2,2,100.0%,5,2.5,1,100.0%
Ty,Johnson,BUF,7,0,0,0,0,0.0%,1,1,100.0%,4,4.0,1,100.0%
Kenneth,Gainwell,PHI,7,5,33,6.6,0,55.6%,0,0,0%,0,0,0,0%
Raheem,Mostert,MIA,7,3,13,4.3,0,75.0%,0,0,0%,0,0,0,0%
Ernest,Johnson,JAC,7,2,13,6.5,0,12.5%,0,1,0.0%,0,0,0,100.0%
James,Conner,ARI,7,3,11,3.7,0,100.0%,0,0,0%,0,0,0,0%
Jaylen,Warren,PIT,7,3,10,3.3,0,27.3%,0,1,0.0%,0,0,0,100.0%
Jeremy,McNichols,WAS,7,2,8,4.0,0,25.0%,0,0,0%,0,0,0,0.0%
Jordan,Mason,SF,7,4,7,1.8,0,100.0%,0,0,0%,0,0,0,0%
Miles,Sanders,CAR,7,1,7,7.0,0,33.3%,0,0,0%,0,0,0,0%
Trey,Sermon,IND,7,1,7,7.0,0,25.0%,0,0,0%,0,0,0,0%
Julius,Chestnut,TEN,7,2,7,3.5,0,100.0%,0,0,0%,0,0,0,0%
Alexander,Mattison,LV,7,1,6,6.0,0,100.0%,0,0,0%,0,0,0,0%
Austin,Ekeler,WAS,7,1,3,3.0,0,12.5%,1,1,100.0%,3,3.0,0,100.0%
Kimani,Vidal,LAC,7,1,2,2.0,0,100.0%,0,0,0%,0,0,0,0%
Emanuel,Wilson,GB,7,1,1,1.0,0,50.0%,0,0,0%,0,0,0,0.0%
David,Montgomery,DET,7,1,1,1.0,0,33.3%,0,0,0%,0,0,0,0%
Dameon,Pierce,HOU,7,1,0,0.0,0,12.5%,0,0,0%,0,0,0,0.0%
Chase,Brown,CIN,7,1,0,0.0,0,100.0%,0,0,0%,0,0,0,0%
Dare,Ogunbowale,HOU,7,0,0,0,0,0.0%,0,1,0.0%,0,0,0,100.0%
Alec,Ingold,MIA,7,1,-1,-1.0,0,25.0%,0,0,0%,0,0,0,0%
,,,8,,,,,,,,,,,,
Kyren,Williams,LAR,8,6,11,1.8,0,100.0%,1,1,100.0%,5,5.0,1,100.0%
Aaron,Jones,MIN,8,4,6,1.5,0,100.0%,0,0,0%,0,0,0,0%
