year,week,player_id,player,position,team,points,points_ppr,points_half,rushing_attempts,rushing_yards,rushing_tds,receptions,reception_yards,reception_tds
2024,7,3728262,Ray-Ray McCloud III,RB,ATL,6.11,9.66,7.88,,,,3.55,39.51,0.29
2024,7,4038941,Justin Herbert,RB,LAC,15.23,15.23,15.23,,,,,,
2024,7,4685720,Bryce Young,RB,CAR,0.0,0.0,0.0,,,,,,
2024,7,2577417,Dak Prescott,RB,DAL,0.0,0.0,0.0,,,,,,
2024,7,4036211,DJ Turner,RB,LV,3.47,5.39,4.43,,,,1.92,25.43,0.09
2024,7,3149687,Chris Brooks,RB,GB,0.28,0.28,0.28,0.51,2.22,0.01,0.0,0.0,0.0
2024,7,4570561,Eric Gray,RB,NYG,0.87,1.2,1.03,0.49,3.32,0.03,0.33,2.39,0.02
2024,7,16757,Derek Carr,RB,NO,0.0,0.0,0.0,,,,,,
2024,7,4039274,Jonathan Ward,RB,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,3046779,Jared Goff,RB,DET,15.16,15.16,15.16,,,,,,
2024,7,4039607,J.J. Taylor,RB,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4421446,Craig Reynolds,RB,DET,0.26,0.43,0.34,0.14,0.85,0.0,0.17,1.32,0.0
2024,7,4431453,Deuce Vaughn,RB,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4569587,Wan'Dale Robinson,RB,NYG,7.01,12.57,9.79,,,,5.56,53.44,0.25
2024,7,4248068,Aaron Shampklin,RB,PIT,0.3,0.38,0.34,0.08,1.65,0.01,0.08,0.6,0.0
2024,7,4686472,Marvin Mims Jr.,RB,DEN,1.61,2.53,2.07,,,,0.92,12.64,0.06
2024,7,4035886,Khalil Herbert,RB,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4037457,Travis Homer,RB,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4039358,Patrick Taylor Jr.,RB,SF,0.41,0.58,0.49,0.58,1.99,0.01,0.16,1.14,0.01
2024,7,4243004,Jordan Mims,RB,NO,0.3,0.39,0.35,0.07,1.61,0.01,0.09,0.59,0.0
2024,7,4372071,Hassan Haskins,RB,LAC,1.03,1.28,1.15,1.82,6.24,0.03,0.24,1.69,0.01
2024,7,4429023,MarShawn Lloyd,RB,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4383396,Hunter Luepke,RB,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4597500,Adonai Mitchell,RB,IND,3.49,5.31,4.4,,,,1.83,23.82,0.16
2024,7,4361409,Jahan Dotson,RB,PHI,1.95,3.08,2.52,,,,1.13,13.43,0.09
2024,7,4427600,Terrell Jennings,RB,NE,0.08,0.13,0.1,0.07,0.32,0.0,0.06,0.45,0.0
2024,7,4432773,Brian Thomas Jr.,RB,JAX,8.14,12.54,10.34,,,,4.4,58.33,0.38
2024,7,2973405,Kalif Raymond,RB,DET,1.7,2.67,2.18,,,,0.97,11.92,0.07
2024,7,2976212,Stefon Diggs,RB,HOU,9.91,15.92,12.92,,,,6.02,73.53,0.43
2024,7,4432665,Brock Bowers,RB,LV,,,,,,,,,
2024,7,3917668,Alec Ingold,RB,MIA,0.59,0.92,0.76,0.56,2.37,0.02,0.33,2.24,0.01
2024,7,4035693,Velus Jones Jr.,RB,CHI,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024,7,4427391,Kenny McIntosh,RB,SEA,0.19,0.26,0.23,0.0,1.45,0.0,0.07,0.5,0.0
2024,7,4428718,Tre Tucker,RB,LV,5.22,8.19,6.71,,,,2.97,37.87,0.18
2024,7,4430968,Kimani Vidal,RB,LAC,3.56,4.54,4.05,4.6,18.57,0.13,0.98,7.81,0.03
2024,7,4589248,Tyreik McAllister,RB,LV,0.34,0.59,0.47,0.0,0.93,0.0,0.25,2.5,0.0
2024,7,2977187,Cooper Kupp,RB,LAR,8.26,13.32,10.79,,,,5.07,59.36,0.35
2024,7,4012556,C.J. Ham,RB,MIN,0.63,1.2,0.91,0.19,0.8,0.01,0.57,4.02,0.02
2024,7,4039050,Devin Duvernay,RB,JAX,,,,,,,,,
2024,7,4430034,Xavier Legette,RB,CAR,6.21,10.09,8.15,,,,3.88,46.5,0.24
2024,7,4061956,Ashton Dulin,RB,IND,1.1,1.61,1.36,,,,0.51,6.32,0.05
2024,7,4427095,DeMario Douglas,RB,NE,6.2,10.52,8.36,,,,4.32,49.37,0.21
2024,7,3915416,DJ Moore,RB,CHI,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024,7,4243322,Jake Haener,RB,NO,0.0,0.0,0.0,,,,,,
2024,7,14163,Tyrod Taylor,RB,NYJ,0.0,0.0,0.0,,,,,,
2024,7,3139033,Mike Boone,RB,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4360797,Tutu Atwell,RB,LAR,5.2,8.07,6.63,,,,2.87,39.88,0.17
2024,7,4361370,Chris Olave,RB,NO,,,,,,,,,
2024,7,4372016,Jaylen Waddle,RB,MIA,6.13,10.05,8.09,,,,3.92,49.14,0.2
2024,7,4426515,Puka Nacua,RB,LAR,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024,7,4429205,Jordan Addison,RB,MIN,7.45,11.52,9.48,,,,4.08,53.87,0.35
2024,7,16002,Kyle Juszczyk,RB,SF,1.57,2.83,2.2,0.41,1.66,0.02,1.27,9.4,0.07
2024,7,3045169,Tim Boyle,RB,MIA,0.0,0.0,0.0,,,,,,
2024,7,3121427,Curtis Samuel,RB,BUF,2.32,3.59,2.95,,,,1.28,13.01,0.09
2024,7,3932905,Diontae Johnson,RB,CAR,10.14,15.97,13.06,,,,5.84,75.43,0.42
2024,7,4695404,Isaiah Davis,RB,NYJ,0.27,0.36,0.31,0.14,1.35,0.01,0.09,0.72,0.0
2024,7,4426485,Jonathan Mingo,RB,CAR,3.64,5.9,4.77,,,,2.26,27.75,0.14
2024,7,4431280,Troy Franklin,RB,DEN,3.32,5.3,4.31,,,,1.98,24.2,0.13
2024,7,4569618,Garrett Wilson,RB,NYJ,8.96,14.05,11.5,,,,5.1,64.89,0.43
2024,7,4912274,Sione Vaki,RB,DET,0.29,0.46,0.38,0.07,1.38,0.0,0.17,1.33,0.0
2024,7,4036419,Skylar Thompson,RB,MIA,0.0,0.0,0.0,,,,,,
2024,7,4037235,Greg Dortch,RB,ARI,3.72,6.38,5.05,,,,2.66,27.04,0.17
2024,7,4429025,Quentin Johnston,RB,LAC,6.07,9.36,7.72,,,,3.29,41.48,0.3
2024,7,3676833,KaVontae Turpin,RB,DAL,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024,7,3916433,Jakobi Meyers,RB,LV,6.34,10.75,8.55,,,,4.4,50.26,0.23
2024,7,4382466,Jalen Nailor,RB,MIN,3.06,4.78,3.92,,,,1.71,21.31,0.13
2024,7,16731,Brandin Cooks,RB,DAL,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024,7,2576980,Marcus Mariota,RB,WSH,0.0,0.0,0.0,,,,,,
2024,7,2969939,Jameis Winston,RB,CLE,0.22,0.22,0.22,,,,,,
2024,7,3116165,Chris Godwin,RB,TB,10.59,17.16,13.87,,,,6.57,77.91,0.46
2024,7,3121422,Terry McLaurin,RB,WSH,9.71,15.27,12.49,,,,5.56,70.01,0.44
2024,7,4241263,Charlie Kolar,RB,BAL,,,,,,,,,
2024,7,4367567,Julius Chestnut,RB,TEN,3.04,4.01,3.53,4.8,17.6,0.08,0.97,7.09,0.02
2024,7,4373273,British Brooks,RB,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4373678,Khalil Shakir,RB,BUF,5.82,9.44,7.63,,,,3.62,42.14,0.27
2024,7,4431299,Rome Odunze,RB,CHI,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024,7,4572680,Tucker Kraft,RB,GB,,,,,,,,,
