Player,REC_rz,TGT_rz,REC PCT_rz,Y/R_rz,TGT PCT_rz,Year,Week
Stefon Diggs (HOU),3,3,100.0%,7.3,60.0%,2017,1
Bennie Fowler III (FA),2,2,100.0%,5.5,66.7%,2017,1
Seth Roberts (FA),1,1,100.0%,19.0,20.0%,2017,1
Cooper Kupp (LAR),1,1,100.0%,18.0,100.0%,2017,1
DeAndre Hopkins (KC),2,3,66.7%,5.5,75.0%,2017,1
Kenny Golladay (FA),1,1,100.0%,10.0,33.3%,2017,1
Amari Cooper (BUF),1,4,25.0%,8.0,80.0%,2017,1
Marvin Jones Jr. (FA),1,1,100.0%,6.0,33.3%,2017,1
Keenan Allen (CHI),1,1,100.0%,5.0,100.0%,2017,1
Corey Coleman (FA),1,1,100.0%,3.0,50.0%,2017,1
J.J. Nelson (FA),1,1,100.0%,1.0,20.0%,2017,1
Andre Holmes (FA),1,1,100.0%,1.0,50.0%,2017,1
Corey Davis (FA),1,1,100.0%,11.0,20.0%,2017,1
Albert Wilson (FA),1,1,100.0%,11.0,50.0%,2017,1
Eric Decker (FA),2,3,66.7%,5.0,60.0%,2017,1
Sterling Shepard (TB),1,1,100.0%,9.0,50.0%,2017,1
Allen Hurns (FA),1,1,100.0%,9.0,50.0%,2017,1
Tyler Lockett (SEA),1,2,50.0%,8.0,50.0%,2017,1
ArDarius Stewart (FA),1,1,100.0%,8.0,50.0%,2017,1
Roger Lewis (FA),1,1,100.0%,6.0,50.0%,2017,1
A.J. Green (FA),1,2,50.0%,6.0,50.0%,2017,1
Brandon LaFell (FA),1,2,50.0%,6.0,50.0%,2017,1
Golden Tate (FA),1,1,100.0%,6.0,33.3%,2017,1
Nelson Agholor (BAL),1,1,100.0%,5.0,100.0%,2017,1
Ted Ginn Jr. (FA),0,1,0.0%,0.0,50.0%,2017,1
Larry Fitzgerald (FA),1,3,33.3%,5.0,60.0%,2017,1
Danny Amendola (FA),1,1,100.0%,5.0,100.0%,2017,1
Terrelle Pryor Sr. (FA),1,2,50.0%,4.0,40.0%,2017,1
Adam Thielen (CAR),1,2,50.0%,4.0,40.0%,2017,1
Taylor Gabriel (FA),1,2,50.0%,4.0,100.0%,2017,1
Ryan Grant (FA),1,1,100.0%,1.0,20.0%,2017,1
Jeremy Maclin (FA),0,1,0.0%,0.0,33.3%,2017,1
Ricardo Louis (FA),0,1,0.0%,0.0,50.0%,2017,1
Dez Bryant (FA),0,3,0.0%,0.0,100.0%,2017,1
Emmanuel Sanders (FA),0,1,0.0%,0.0,33.3%,2017,1
Zay Jones (ARI),0,1,0.0%,0.0,50.0%,2017,1
T.Y. Hilton (FA),0,1,0.0%,0.0,50.0%,2017,1
Rishard Matthews (FA),0,1,0.0%,0.0,20.0%,2017,1
Tanner McEvoy (FA),0,1,0.0%,0.0,25.0%,2017,1
Jermaine Kearse (FA),0,1,0.0%,0.0,50.0%,2017,1
Robbie Chosen (FA),0,0,0%,0.0,0.0%,2017,1
Josh Bellamy (FA),0,1,0.0%,0.0,100.0%,2017,1
John Brown (FA),0,1,0.0%,0.0,20.0%,2017,1
Marquise Goodwin (FA),0,1,0.0%,0.0,100.0%,2017,1
Donte Moncrief (FA),0,1,0.0%,0.0,50.0%,2017,1
Jamison Crowder (WAS),0,2,0.0%,0.0,40.0%,2017,1
Breshad Perriman (FA),0,2,0.0%,0.0,66.7%,2017,1
Paul Richardson Jr. (FA),0,1,0.0%,0.0,25.0%,2017,1
Bruce Ellington (FA),0,1,0.0%,0.0,25.0%,2017,1
Brandon Coleman (FA),0,1,0.0%,0.0,50.0%,2017,1
Keelan Cole Sr. (FA),0,1,0.0%,0.0,50.0%,2017,1
De'Anthony Thomas (FA),1,1,100.0%,-2.0,50.0%,2017,1
Emmanuel Sanders (FA),3,3,100.0%,7.0,75.0%,2017,2
Michael Crabtree (FA),2,2,100.0%,1.5,66.7%,2017,2
Chris Hogan (FA),2,3,66.7%,9.5,75.0%,2017,2
Allen Hurns (FA),2,2,100.0%,8.0,100.0%,2017,2
Alshon Jeffery (FA),1,2,50.0%,16.0,50.0%,2017,2
Deonte Thompson (FA),1,2,50.0%,14.0,28.6%,2017,2
Mike Evans (TB),1,2,50.0%,13.0,50.0%,2017,2
Ryan Grant (FA),1,1,100.0%,11.0,50.0%,2017,2
Jermaine Kearse (FA),1,1,100.0%,11.0,50.0%,2017,2
Nelson Agholor (BAL),1,1,100.0%,9.0,25.0%,2017,2
Paul Richardson Jr. (FA),1,1,100.0%,9.0,20.0%,2017,2
Brandon Coleman (FA),1,1,100.0%,5.0,20.0%,2017,2
JuJu Smith-Schuster (KC),1,2,50.0%,4.0,50.0%,2017,2
Dez Bryant (FA),1,3,33.3%,3.0,75.0%,2017,2
Jeremy Maclin (FA),1,1,100.0%,2.0,100.0%,2017,2
Brandon Marshall (FA),1,1,100.0%,17.0,50.0%,2017,2
Davante Adams (NYJ),1,1,100.0%,17.0,25.0%,2017,2
J.J. Nelson (FA),1,2,50.0%,15.0,40.0%,2017,2
Randall Cobb (FA),1,2,50.0%,10.0,50.0%,2017,2
Jaron Brown (FA),1,2,50.0%,9.0,40.0%,2017,2
Adam Humphries (FA),1,1,100.0%,9.0,25.0%,2017,2
Rishard Matthews (FA),1,2,50.0%,8.0,100.0%,2017,2
Taylor Gabriel (FA),0,0,0%,0.0,0.0%,2017,2
Phillip Dorsett II (ATL),1,1,100.0%,7.0,25.0%,2017,2
Tyler Lockett (SEA),1,1,100.0%,6.0,20.0%,2017,2
Ted Ginn Jr. (FA),1,2,50.0%,5.0,40.0%,2017,2
Cooper Kupp (LAR),1,1,100.0%,5.0,100.0%,2017,2
Kendall Wright (FA),1,4,25.0%,5.0,57.1%,2017,2
Brandon LaFell (FA),1,2,50.0%,2.0,100.0%,2017,2
Doug Baldwin (FA),1,2,50.0%,2.0,40.0%,2017,2
Chris Godwin (TB),0,1,0.0%,0.0,25.0%,2017,2
Larry Fitzgerald (FA),0,1,0.0%,0.0,20.0%,2017,2
Tanner McEvoy (FA),0,1,0.0%,0.0,20.0%,2017,2
Robbie Chosen (FA),0,1,0.0%,0.0,50.0%,2017,2
Sterling Shepard (TB),0,1,0.0%,0.0,50.0%,2017,2
Michael Thomas (FA),0,2,0.0%,0.0,40.0%,2017,2
Josh Doctson (FA),0,1,0.0%,0.0,50.0%,2017,2
Corey Coleman (FA),0,1,0.0%,0.0,50.0%,2017,2
Eli Rogers (FA),0,1,0.0%,0.0,25.0%,2017,2
Trent Taylor (SF),0,1,0.0%,0.0,25.0%,2017,2
Rashard Higgins (FA),0,1,0.0%,0.0,50.0%,2017,2
Seth Roberts (FA),0,1,0.0%,0.0,33.3%,2017,2
Pierre Garcon (FA),0,2,0.0%,0.0,50.0%,2017,2
DeVante Parker (FA),0,1,0.0%,0.0,20.0%,2017,2
T.Y. Hilton (FA),0,2,0.0%,0.0,66.7%,2017,2
Bennie Fowler III (FA),0,1,0.0%,0.0,25.0%,2017,2
Antonio Brown (FA),0,1,0.0%,0.0,25.0%,2017,2
Julio Jones (FA),0,1,0.0%,0.0,100.0%,2017,2
Jarvis Landry (FA),2,3,66.7%,0.0,60.0%,2017,2
Donte Moncrief (FA),0,1,0.0%,0.0,33.3%,2017,2
Torrey Smith (FA),0,1,0.0%,0.0,25.0%,2017,2
Kelvin Benjamin (FA),0,1,0.0%,0.0,50.0%,2017,2
Kenny Stills (FA),0,1,0.0%,0.0,20.0%,2017,2
Russell Shepard (FA),0,1,0.0%,0.0,50.0%,2017,2
Marquise Goodwin (FA),0,1,0.0%,0.0,25.0%,2017,2
Cole Beasley (FA),0,1,0.0%,0.0,25.0%,2017,2
Tanner Gentry (FA),0,1,0.0%,0.0,14.3%,2017,2
Odell Beckham Jr. (FA),3,3,100.0%,7.3,42.9%,2017,3
Jordy Nelson (FA),4,4,100.0%,4.8,44.4%,2017,3
Sammy Watkins (FA),2,2,100.0%,7.0,50.0%,2017,3
Larry Fitzgerald (FA),3,4,75.0%,7.7,50.0%,2017,3
Stefon Diggs (HOU),2,2,100.0%,11.5,50.0%,2017,3
Michael Thomas (FA),2,2,100.0%,8.5,66.7%,2017,3
Dez Bryant (FA),1,1,100.0%,15.0,100.0%,2017,3
Antonio Brown (FA),2,2,100.0%,7.5,33.3%,2017,3
Trent Taylor (SF),2,2,100.0%,7.0,33.3%,2017,3
Brandon Coleman (FA),1,1,100.0%,11.0,33.3%,2017,3
Kenny Britt (FA),1,1,100.0%,11.0,50.0%,2017,3
Allen Hurns (FA),2,2,100.0%,5.5,40.0%,2017,3
Golden Tate (FA),2,2,100.0%,5.5,50.0%,2017,3
A.J. Green (FA),1,1,100.0%,10.0,100.0%,2017,3
Paul Richardson Jr. (FA),1,2,50.0%,8.0,40.0%,2017,3
Chris Hogan (FA),1,2,50.0%,7.0,100.0%,2017,3
Albert Wilson (FA),2,2,100.0%,3.5,66.7%,2017,3
Doug Baldwin (FA),1,2,50.0%,4.0,40.0%,2017,3
Mohamed Sanu Sr. (FA),1,2,50.0%,4.0,66.7%,2017,3
DeVante Parker (FA),1,1,100.0%,3.0,50.0%,2017,3
Jarius Wright (FA),1,1,100.0%,2.0,25.0%,2017,3
Andre Holmes (FA),1,1,100.0%,2.0,100.0%,2017,3
Ted Ginn Jr. (FA),0,0,0%,0.0,0.0%,2017,3
Tavon Austin (FA),0,0,0%,0.0,0.0%,2017,3
Robert Woods (HOU),1,1,100.0%,13.0,25.0%,2017,3
Marquise Goodwin (FA),1,2,50.0%,12.0,33.3%,2017,3
T.Y. Hilton (FA),2,2,100.0%,6.0,100.0%,2017,3
Davante Adams (NYJ),1,3,33.3%,10.0,33.3%,2017,3
Jeremy Kerley (FA),1,1,100.0%,10.0,100.0%,2017,3
Tyreek Hill (MIA),1,1,100.0%,7.0,33.3%,2017,3
Michael Campanaro (FA),0,0,0%,0.0,0%,2017,3
Pierre Garcon (FA),1,1,100.0%,6.0,16.7%,2017,3
Kelvin Benjamin (FA),1,1,100.0%,4.0,100.0%,2017,3
Cooper Kupp (LAR),1,1,100.0%,4.0,25.0%,2017,3
Jaron Brown (FA),1,2,50.0%,2.0,25.0%,2017,3
Sterling Shepard (TB),1,4,25.0%,1.0,57.1%,2017,3
Kenny Golladay (FA),0,2,0.0%,0.0,50.0%,2017,3
Kasen Williams (FA),0,1,0.0%,0.0,50.0%,2017,3
Nelson Agholor (BAL),0,1,0.0%,0.0,100.0%,2017,3
Amari Cooper (BUF),0,1,0.0%,0.0,100.0%,2017,3
JuJu Smith-Schuster (KC),0,2,0.0%,0.0,33.3%,2017,3
Amara Darboh (FA),0,1,0.0%,0.0,20.0%,2017,3
Marqise Lee (FA),0,2,0.0%,0.0,40.0%,2017,3
Adam Thielen (CAR),0,1,0.0%,0.0,25.0%,2017,3
Bennie Fowler III (FA),0,1,0.0%,0.0,33.3%,2017,3
Taylor Gabriel (FA),0,0,0%,0.0,0.0%,2017,3
Cody Latimer (FA),0,1,0.0%,0.0,33.3%,2017,3
Martavis Bryant (FA),0,2,0.0%,0.0,33.3%,2017,3
Brandin Cooks (DAL),0,0,0%,0.0,0.0%,2017,3
Brittan Golden (FA),0,2,0.0%,0.0,25.0%,2017,3
Keenan Allen (CHI),0,1,0.0%,0.0,100.0%,2017,3
Kenny Stills (FA),0,1,0.0%,0.0,50.0%,2017,3
Rishard Matthews (FA),0,1,0.0%,0.0,50.0%,2017,3
Aldrick Robinson (FA),0,1,0.0%,0.0,16.7%,2017,3
Julio Jones (FA),0,1,0.0%,0.0,33.3%,2017,3
Eric Decker (FA),0,1,0.0%,0.0,50.0%,2017,3
Demaryius Thomas (FA),0,1,0.0%,0.0,33.3%,2017,3
Keelan Cole Sr. (FA),0,1,0.0%,0.0,20.0%,2017,3
Jamison Crowder (WAS),2,2,100.0%,-2.0,100.0%,2017,3
William Fuller V (FA),2,2,100.0%,13.0,50.0%,2017,4
Devin Funchess (FA),2,3,66.7%,13.0,100.0%,2017,4
Jordy Nelson (FA),2,2,100.0%,6.0,33.3%,2017,4
Larry Fitzgerald (FA),2,2,100.0%,11.0,66.7%,2017,4
Donte Moncrief (FA),1,1,100.0%,18.0,100.0%,2017,4
Cooper Kupp (LAR),2,2,100.0%,8.5,40.0%,2017,4
Mike Wallace (FA),1,3,33.3%,16.0,50.0%,2017,4
Davante Adams (NYJ),2,3,66.7%,6.5,50.0%,2017,4
JuJu Smith-Schuster (KC),1,1,100.0%,11.0,50.0%,2017,4
Danny Amendola (FA),2,2,100.0%,5.5,40.0%,2017,4
Brice Butler (FA),1,1,100.0%,10.0,50.0%,2017,4
Alshon Jeffery (FA),1,1,100.0%,8.0,50.0%,2017,4
DeAndre Hopkins (KC),1,2,50.0%,8.0,50.0%,2017,4
A.J. Green (FA),1,1,100.0%,7.0,100.0%,2017,4
Mike Evans (TB),1,3,33.3%,6.0,100.0%,2017,4
Kendall Wright (FA),1,1,100.0%,5.0,25.0%,2017,4
Justin Hardy (FA),1,1,100.0%,3.0,20.0%,2017,4
Michael Thomas (FA),1,1,100.0%,3.0,33.3%,2017,4
Ryan Grant (FA),1,1,100.0%,3.0,100.0%,2017,4
Randall Cobb (FA),1,1,100.0%,2.0,16.7%,2017,4
Chris Hogan (FA),1,3,33.3%,2.0,60.0%,2017,4
Brandon Marshall (FA),1,1,100.0%,10.0,50.0%,2017,4
Andre Holmes (FA),1,1,100.0%,10.0,33.3%,2017,4
Deonte Thompson (FA),1,2,50.0%,9.0,50.0%,2017,4
Odell Beckham Jr. (FA),1,1,100.0%,8.0,50.0%,2017,4
Antonio Brown (FA),1,1,100.0%,8.0,50.0%,2017,4
Golden Tate (FA),1,1,100.0%,7.0,33.3%,2017,4
Tyrell Williams (FA),1,1,100.0%,7.0,25.0%,2017,4
Mohamed Sanu Sr. (FA),1,1,100.0%,3.0,20.0%,2017,4
Pierre Garcon (FA),1,1,100.0%,6.0,100.0%,2017,4
Ricardo Louis (FA),1,1,100.0%,5.0,33.3%,2017,4
Brandin Cooks (DAL),0,0,0%,0.0,0.0%,2017,4
Terrance Williams (FA),1,1,100.0%,3.0,50.0%,2017,4
Allen Hurns (FA),1,2,50.0%,2.0,100.0%,2017,4
Travis Benjamin (FA),1,1,100.0%,2.0,25.0%,2017,4
Tommylee Lewis (FA),1,2,50.0%,1.0,66.7%,2017,4
Kenny Britt (FA),0,2,0.0%,0.0,66.7%,2017,4
Breshad Perriman (FA),0,1,0.0%,0.0,16.7%,2017,4
DeSean Jackson (FA),0,0,0%,0.0,0.0%,2017,4
Nelson Agholor (BAL),0,1,0.0%,0.0,50.0%,2017,4
Demaryius Thomas (FA),0,1,0.0%,0.0,33.3%,2017,4
Amari Cooper (BUF),0,1,0.0%,0.0,100.0%,2017,4
Jermaine Kearse (FA),0,1,0.0%,0.0,100.0%,2017,4
Adam Thielen (CAR),0,1,0.0%,0.0,100.0%,2017,4
Taylor Gabriel (FA),0,3,0.0%,0.0,60.0%,2017,4
Albert Wilson (FA),1,1,100.0%,0.0,100.0%,2017,4
Josh Bellamy (FA),0,1,0.0%,0.0,25.0%,2017,4
Chris Matthews (FA),0,1,0.0%,0.0,16.7%,2017,4
T.J. Jones (FA),0,2,0.0%,0.0,66.7%,2017,4
Doug Baldwin (FA),0,0,0%,0.0,0%,2017,4
Jaron Brown (FA),0,1,0.0%,0.0,33.3%,2017,4
Tavon Austin (FA),0,1,0.0%,0.0,20.0%,2017,4
Keenan Allen (CHI),0,2,0.0%,0.0,50.0%,2017,4
Robert Woods (HOU),0,2,0.0%,0.0,40.0%,2017,4
Michael Campanaro (FA),0,1,0.0%,0.0,16.7%,2017,4
Emmanuel Sanders (FA),2,2,100.0%,-0.5,66.7%,2017,4
Davante Adams (NYJ),2,3,66.7%,11.0,50.0%,2017,5
Cole Beasley (FA),2,3,66.7%,3.5,60.0%,2017,5
DeAndre Hopkins (KC),2,2,100.0%,3.5,66.7%,2017,5
William Fuller V (FA),1,1,100.0%,9.0,33.3%,2017,5
John Brown (FA),1,1,100.0%,13.0,100.0%,2017,5
Brandon Tate (FA),1,1,100.0%,12.0,25.0%,2017,5
Jordy Nelson (FA),1,2,50.0%,10.0,33.3%,2017,5
De'Anthony Thomas (FA),1,1,100.0%,10.0,50.0%,2017,5
Dez Bryant (FA),1,2,50.0%,10.0,40.0%,2017,5
Devin Funchess (FA),1,1,100.0%,10.0,50.0%,2017,5
Jarvis Landry (FA),1,1,100.0%,6.0,100.0%,2017,5
Chris Hogan (FA),1,1,100.0%,5.0,33.3%,2017,5
Vince Mayle (FA),0,0,0%,0.0,0.0%,2017,5
Danny Amendola (FA),2,2,100.0%,8.5,66.7%,2017,5
Jared Abbrederis (FA),1,2,50.0%,12.0,50.0%,2017,5
Tyler Lockett (SEA),1,1,100.0%,4.0,100.0%,2017,5
Alshon Jeffery (FA),1,1,100.0%,10.0,50.0%,2017,5
JuJu Smith-Schuster (KC),1,2,50.0%,10.0,40.0%,2017,5
Kamar Aiken (FA),1,1,100.0%,9.0,50.0%,2017,5
Chris Godwin (TB),1,1,100.0%,8.0,50.0%,2017,5
Tavon Austin (FA),1,2,50.0%,2.0,40.0%,2017,5
Kasen Williams (FA),1,1,100.0%,4.0,100.0%,2017,5
Brandon LaFell (FA),1,2,50.0%,1.0,100.0%,2017,5
Zay Jones (ARI),0,3,0.0%,0.0,75.0%,2017,5
Amari Cooper (BUF),0,1,0.0%,0.0,50.0%,2017,5
Geronimo Allison (FA),0,1,0.0%,0.0,16.7%,2017,5
Albert Wilson (FA),0,1,0.0%,0.0,50.0%,2017,5
Kelvin Benjamin (FA),0,1,0.0%,0.0,50.0%,2017,5
Bruce Ellington (FA),0,0,0%,0.0,0.0%,2017,5
Martavis Bryant (FA),0,1,0.0%,0.0,20.0%,2017,5
T.J. Jones (FA),0,1,0.0%,0.0,25.0%,2017,5
Odell Beckham Jr. (FA),0,0,0%,0.0,0%,2017,5
Mike Evans (TB),0,1,0.0%,0.0,50.0%,2017,5
Keenan Allen (CHI),0,3,0.0%,0.0,100.0%,2017,5
Marquise Goodwin (FA),0,2,0.0%,0.0,100.0%,2017,5
T.Y. Hilton (FA),0,1,0.0%,0.0,50.0%,2017,5
Torrey Smith (FA),1,1,100.0%,3.0,50.0%,2017,5
Antonio Brown (FA),0,2,0.0%,0.0,40.0%,2017,5
Golden Tate (FA),0,1,0.0%,0.0,25.0%,2017,5
Michael Crabtree (FA),0,1,0.0%,0.0,50.0%,2017,5
Jeremy Maclin (FA),0,1,0.0%,0.0,100.0%,2017,5
Cooper Kupp (LAR),0,3,0.0%,0.0,60.0%,2017,5
Ted Ginn Jr. (FA),2,2,100.0%,16.5,100.0%,2017,6
Davante Adams (NYJ),2,3,66.7%,10.5,50.0%,2017,6
John Brown (FA),1,1,100.0%,17.0,50.0%,2017,6
Kenny Stills (FA),1,1,100.0%,11.0,33.3%,2017,6
Larry Fitzgerald (FA),1,1,100.0%,11.0,50.0%,2017,6
Josh Doctson (FA),1,2,50.0%,11.0,50.0%,2017,6
Jarvis Landry (FA),1,1,100.0%,7.0,33.3%,2017,6
DeSean Jackson (FA),1,1,100.0%,4.0,25.0%,2017,6
DeAndre Hopkins (KC),1,1,100.0%,3.0,50.0%,2017,6
Braxton Miller (FA),1,1,100.0%,1.0,50.0%,2017,6
Pierre Garcon (FA),1,1,100.0%,8.0,50.0%,2017,6
Donte Moncrief (FA),1,3,33.3%,8.0,75.0%,2017,6
Ryan Grant (FA),1,1,100.0%,6.0,25.0%,2017,6
Marvin Jones Jr. (FA),1,3,33.3%,5.0,100.0%,2017,6
Antonio Brown (FA),1,1,100.0%,4.0,100.0%,2017,6
Bennie Fowler III (FA),1,3,33.3%,4.0,50.0%,2017,6
Demaryius Thomas (FA),1,2,50.0%,3.0,33.3%,2017,6
Adam Humphries (FA),1,1,100.0%,2.0,25.0%,2017,6
Jordan Taylor (FA),0,1,0.0%,0.0,16.7%,2017,6
Robbie Chosen (FA),0,2,0.0%,0.0,100.0%,2017,6
Demarcus Robinson (LAR),0,3,0.0%,0.0,100.0%,2017,6
Chris Moore (WAS),0,1,0.0%,0.0,33.3%,2017,6
Leonte Carroo (FA),0,1,0.0%,0.0,33.3%,2017,6
Mike Wallace (FA),0,1,0.0%,0.0,33.3%,2017,6
Terrelle Pryor Sr. (FA),0,1,0.0%,0.0,25.0%,2017,6
Nelson Agholor (BAL),0,1,0.0%,0.0,100.0%,2017,6
Adam Thielen (CAR),0,1,0.0%,0.0,100.0%,2017,6
T.Y. Hilton (FA),0,1,0.0%,0.0,25.0%,2017,6
Chris Matthews (FA),0,1,0.0%,0.0,33.3%,2017,6
Jordy Nelson (FA),1,2,50.0%,0.0,33.3%,2017,6
Kelvin Benjamin (FA),0,1,0.0%,0.0,100.0%,2017,6
Mike Evans (TB),0,2,0.0%,0.0,50.0%,2017,6
Keenan Allen (CHI),0,1,0.0%,0.0,100.0%,2017,6
Marquise Goodwin (FA),0,1,0.0%,0.0,50.0%,2017,6
Marvin Hall (FA),0,1,0.0%,0.0,100.0%,2017,6
Robbie Chosen (FA),1,1,100.0%,18.0,100.0%,2017,7
Cooper Kupp (LAR),1,5,20.0%,18.0,83.3%,2017,7
Brandon LaFell (FA),2,3,66.7%,7.5,100.0%,2017,7
Chris Moore (WAS),1,3,33.3%,13.0,100.0%,2017,7
Mike Evans (TB),1,1,100.0%,12.0,50.0%,2017,7
Brandin Cooks (DAL),1,1,100.0%,11.0,50.0%,2017,7
Dez Bryant (FA),3,3,100.0%,3.3,60.0%,2017,7
Kenny Stills (FA),2,2,100.0%,5.0,66.7%,2017,7
Nelson Agholor (BAL),1,1,100.0%,10.0,50.0%,2017,7
Antonio Brown (FA),1,2,50.0%,7.0,66.7%,2017,7
Julio Jones (FA),2,4,50.0%,3.5,50.0%,2017,7
Jarvis Landry (FA),1,1,100.0%,4.0,33.3%,2017,7
Michael Crabtree (FA),1,2,50.0%,2.0,100.0%,2017,7
Keenan Allen (CHI),1,2,50.0%,19.0,100.0%,2017,7
Rishard Matthews (FA),1,1,100.0%,14.0,50.0%,2017,7
Roger Lewis (FA),1,1,100.0%,12.0,100.0%,2017,7
Tyler Lockett (SEA),1,1,100.0%,0.0,100.0%,2017,7
Marqise Lee (FA),1,1,100.0%,9.0,100.0%,2017,7
Mohamed Sanu Sr. (FA),1,3,33.3%,9.0,37.5%,2017,7
Zay Jones (ARI),1,1,100.0%,9.0,50.0%,2017,7
Jamison Crowder (WAS),1,1,100.0%,8.0,33.3%,2017,7
Marquise Goodwin (FA),1,2,50.0%,7.0,100.0%,2017,7
John Brown (FA),1,1,100.0%,6.0,100.0%,2017,7
Ryan Grant (FA),1,1,100.0%,6.0,33.3%,2017,7
Chris Godwin (TB),1,1,100.0%,5.0,50.0%,2017,7
Martavis Bryant (FA),1,1,100.0%,3.0,33.3%,2017,7
Ryan Switzer (FA),1,1,100.0%,2.0,20.0%,2017,7
Devin Funchess (FA),0,1,0.0%,0.0,100.0%,2017,7
Adam Thielen (CAR),0,1,0.0%,0.0,100.0%,2017,7
Brandon Coleman (FA),0,1,0.0%,0.0,50.0%,2017,7
Josh Doctson (FA),0,1,0.0%,0.0,33.3%,2017,7
Michael Thomas (FA),0,1,0.0%,0.0,50.0%,2017,7
Sammy Watkins (FA),0,1,0.0%,0.0,16.7%,2017,7
Demarcus Robinson (LAR),0,1,0.0%,0.0,100.0%,2017,7
Brice Butler (FA),0,0,0%,0.0,0.0%,2017,7
Terrance Williams (FA),0,1,0.0%,0.0,20.0%,2017,7
Chris Hogan (FA),0,1,0.0%,0.0,50.0%,2017,7
Taywan Taylor (FA),0,1,0.0%,0.0,50.0%,2017,7
Alshon Jeffery (FA),0,1,0.0%,0.0,50.0%,2017,7
Andre Roberts (FA),0,1,0.0%,0.0,12.5%,2017,7
Taylor Gabriel (FA),0,0,0%,0.0,0.0%,2017,7
Paul Richardson Jr. (FA),3,4,75.0%,12.0,80.0%,2017,8
William Fuller V (FA),1,1,100.0%,20.0,50.0%,2017,8
Adam Thielen (CAR),1,2,50.0%,18.0,100.0%,2017,8
Andre Holmes (FA),2,2,100.0%,7.5,100.0%,2017,8
A.J. Green (FA),1,3,33.3%,8.0,75.0%,2017,8
Mohamed Sanu Sr. (FA),1,1,100.0%,8.0,33.3%,2017,8
Josh Doctson (FA),1,1,100.0%,1.0,50.0%,2017,8
Bennie Fowler III (FA),1,2,50.0%,6.0,100.0%,2017,8
Brandin Cooks (DAL),1,2,50.0%,6.0,50.0%,2017,8
Doug Baldwin (FA),1,1,100.0%,6.0,20.0%,2017,8
Chris Hogan (FA),1,1,100.0%,5.0,25.0%,2017,8
Golden Tate (FA),1,1,100.0%,5.0,16.7%,2017,8
Ryan Grant (FA),1,1,100.0%,2.0,50.0%,2017,8
Chris Moore (WAS),0,0,0%,0.0,0%,2017,8
Eli Rogers (FA),0,1,0.0%,0.0,33.3%,2017,8
Ricardo Louis (FA),0,1,0.0%,0.0,100.0%,2017,8
Tyreek Hill (MIA),0,1,0.0%,0.0,50.0%,2017,8
Josh Malone (FA),0,1,0.0%,0.0,25.0%,2017,8
Albert Wilson (FA),0,1,0.0%,0.0,50.0%,2017,8
Danny Amendola (FA),0,1,0.0%,0.0,25.0%,2017,8
Bruce Ellington (FA),0,1,0.0%,0.0,50.0%,2017,8
T.J. Jones (FA),0,1,0.0%,0.0,16.7%,2017,8
Michael Crabtree (FA),0,1,0.0%,0.0,100.0%,2017,8
Kelvin Benjamin (FA),0,2,0.0%,0.0,100.0%,2017,8
Marvin Jones Jr. (FA),0,4,0.0%,0.0,66.7%,2017,8
Kendall Wright (FA),0,0,0%,0.0,0%,2017,8
Kamar Aiken (FA),0,1,0.0%,0.0,100.0%,2017,8
Julio Jones (FA),0,2,0.0%,0.0,66.7%,2017,8
Demaryius Thomas (FA),0,0,0%,0.0,0.0%,2017,8
Dez Bryant (FA),0,2,0.0%,0.0,100.0%,2017,8
Kendrick Bourne (NE),0,1,0.0%,0.0,100.0%,2017,8
Antonio Brown (FA),1,2,50.0%,-1.0,66.7%,2017,8
Cole Beasley (FA),2,2,100.0%,6.5,50.0%,2017,9
Demaryius Thomas (FA),3,3,100.0%,7.3,75.0%,2017,9
Rishard Matthews (FA),1,1,100.0%,16.0,25.0%,2017,9
Eric Decker (FA),2,2,100.0%,6.0,50.0%,2017,9
Marvin Jones Jr. (FA),1,2,50.0%,11.0,66.7%,2017,9
Zay Jones (ARI),1,1,100.0%,10.0,50.0%,2017,9
Marqise Lee (FA),2,3,66.7%,4.0,75.0%,2017,9
Jarvis Landry (FA),1,1,100.0%,6.0,50.0%,2017,9
Mohamed Sanu Sr. (FA),1,1,100.0%,6.0,100.0%,2017,9
Tavarres King (FA),1,1,100.0%,5.0,50.0%,2017,9
Robert Woods (HOU),1,1,100.0%,4.0,33.3%,2017,9
Alshon Jeffery (FA),1,1,100.0%,4.0,50.0%,2017,9
Jaron Brown (FA),1,1,100.0%,3.0,50.0%,2017,9
Mike Wallace (FA),1,2,50.0%,1.0,66.7%,2017,9
Jeremy Maclin (FA),1,1,100.0%,15.0,33.3%,2017,9
Marquise Goodwin (FA),1,1,100.0%,13.0,100.0%,2017,9
T.J. Jones (FA),1,1,100.0%,12.0,33.3%,2017,9
DeAndre Hopkins (KC),1,3,33.3%,10.0,75.0%,2017,9
Kenny Stills (FA),1,1,100.0%,9.0,50.0%,2017,9
Tavon Austin (FA),0,0,0%,0.0,0.0%,2017,9
Davante Adams (NYJ),1,1,100.0%,9.0,100.0%,2017,9
Brice Butler (FA),1,2,50.0%,6.0,50.0%,2017,9
Terrelle Pryor Sr. (FA),1,1,100.0%,5.0,100.0%,2017,9
Sterling Shepard (TB),1,1,100.0%,4.0,50.0%,2017,9
Nelson Agholor (BAL),1,1,100.0%,1.0,50.0%,2017,9
