year,week,player_id,player,firstName,lastName,position,team,This Week Salary,Last Week Salary,Salary Differential,red_zone_rush_att,red_zone_rush_yds,red_zone_rush_y/a,red_zone_rush_td,red_zone_rush_pct,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_tgt_pct,projected_points,projected_points_ppr,projected_points_half,projected_rushing_attempts,projected_rushing_yards,projected_rushing_tds,projected_receptions,projected_reception_yards,projected_reception_tds,wk6 %rostered,wk5 %rostered,wk4 %rostered,wk3 %rostered,wk2 %rostered,wk1 %rostered
2024,8,4569173,Rhamondre Stevenson,Rhamondre,Stevenson,RB,NE,"$6,700","$6,800",-100,13,18,1.4,2,68.4%,4,6,66.7%,4,1.0,0,75.0%,9.17,11.54,10.35,13.49,55.74,0.3,2.37,15.84,0.07,90.0,90.0,90.0,90.0,90.0,90.0
2024,8,4426348,Jayden Daniels,Jayden,Daniels,RB,WSH,,,,,,,,,,,,,,,,9.55,9.55,9.55,,,,,,,,,,,,
2024,8,4596448,Bucky Irving,Bucky,Irving,RB,TB,"$6,200","$5,700",+500,16,62,3.9,3,69.6%,1,1,100.0%,9,9.0,0,16.7%,7.88,9.83,8.86,9.57,42.24,0.3,1.95,14.64,0.09,71.0,71.0,71.0,71.0,71.0,71.0
2024,8,4242335,Jonathan Taylor,Jonathan,Taylor,RB,IND,"$8,000","$8,300",-300,15,35,2.3,3,42.9%,0,0,0%,0,0,0,0.0%,13.16,15.34,14.25,18.21,81.13,0.54,2.18,15.99,0.07,99.7,99.7,99.7,99.7,99.7,99.7
2024,8,4427366,Breece Hall,Breece,Hall,RB,NYJ,"$7,900","$7,600",+300,10,31,3.1,3,76.9%,3,4,75.0%,12,4.0,0,80.0%,15.22,19.45,17.34,17.52,79.15,0.54,4.23,32.47,0.18,99.8,99.8,99.8,99.8,99.8,99.8
2024,8,4379399,James Cook,James,Cook,RB,BUF,"$7,700","$7,900",-200,16,44,2.8,4,51.6%,1,2,50.0%,17,17.0,1,40.0%,12.21,14.51,13.36,15.12,71.68,0.42,2.3,18.88,0.13,98.4,98.4,98.4,98.4,98.4,98.4
2024,8,4362238,Chase Brown,Chase,Brown,RB,CIN,"$6,600","$6,500",+100,7,16,2.3,2,31.8%,3,4,75.0%,13,4.3,1,66.7%,9.26,11.28,10.27,12.64,52.09,0.36,2.02,15.26,0.09,73.1,73.1,73.1,73.1,73.1,73.1
2024,8,3917315,Kyler Murray,Kyler,Murray,RB,ARI,,,,,,,,,,,,,,,,18.17,18.17,18.17,,,,,,,,,,,,
2024,8,4259545,D'Andre Swift,D'Andre,Swift,RB,CHI,,,,,,,,,,,,,,,,12.28,15.43,13.86,17.21,67.41,0.46,3.15,23.34,0.1,,,,,,
2024,8,4373626,Tyler Allgeier,Tyler,Allgeier,RB,ATL,"$5,700","$5,800",-100,15,29,1.9,1,44.1%,1,1,100.0%,3,3.0,0,33.3%,6.12,7.08,6.6,8.13,38.1,0.24,0.96,7.69,0.03,40.9,40.9,40.9,40.9,40.9,40.9
2024,8,4567048,Kenneth Walker III,Kenneth,Walker III,RB,SEA,,,,,,,,,,,,,,,,13.34,16.69,15.01,14.99,66.71,0.58,3.36,25.86,0.12,97.3,97.3,97.3,97.3,97.3,97.3
2024,8,4361579,Javonte Williams,Javonte,Williams,RB,DEN,"$6,000","$5,800",+200,13,37,2.8,2,76.5%,1,2,50.0%,11,11.0,0,40.0%,11.34,14.18,12.76,15.9,62.45,0.43,2.85,19.88,0.12,87.8,87.8,87.8,87.8,87.8,87.8
2024,8,4372019,Jerome Ford,Jerome,Ford,RB,CLE,"$5,600","$5,900",-300,3,10,3.3,1,23.1%,0,0,0%,0,0,0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.9,59.9,59.9,59.9,59.9,59.9
2024,8,4429160,De'Von Achane,De'Von,Achane,RB,MIA,,,,,,,,,,,,,,,,11.94,15.36,13.65,13.03,56.47,0.42,3.42,28.79,0.16,,,,,,
2024,8,4426338,Bo Nix,Bo,Nix,RB,DEN,,,,,,,,,,,,,,,,17.84,17.84,17.84,,,,,,,,,,,,
