FirstName,LastName,Team,Position,This Week,Last Week,Difference
Tanner,McKee,PHI,QB,"$6,000","$6,000",0
Davis,Mills,HOU,QB,"$6,000","$6,000",0
Trevor,Lawrence,JAC,QB,"$7,000","$7,300",-300
Jaren,Hall,SEA,QB,"$6,000","$6,000",0
Zach,Wilson,DEN,QB,"$6,000","$6,000",0
Tua,Tagovailoa,MIA,QB,"$6,000",-,-
Mac,Jones,JAC,QB,"$6,000","$6,000",0
Clayton,Tune,ARI,QB,"$6,000","$6,000",0
Adrian,Martinez,NYJ,QB,"$6,000","$6,000",0
Milton,III,NE,QB,"$6,000","$6,000",0
Stetson,Bennett,LAR,QB,"$6,000",-,-
Justin,Fields,PIT,QB,"$7,300","$7,600",-300
Jake,Fromm,DET,QB,"$6,000","$6,000",0
Kenny,Pickett,PHI,QB,"$6,000","$6,000",0
Jason,Bean,IND,QB,"$6,000","$6,000",0
Sam,Ehlinger,IND,QB,"$6,000","$6,000",0
Rocky,Lombardi,CIN,QB,"$6,000","$6,000",0
Jordan,Travis,NYJ,QB,"$6,000","$6,000",0
Malik,Cunningham,BAL,QB,"$6,000","$6,000",0
Jack,Plummer,CAR,QB,"$6,000","$6,000",0
Devin,Leary,BAL,QB,"$6,000","$6,000",0
Andrew,Peasley,NYJ,QB,"$6,000","$6,000",0
Nathan,Rourke,ATL,QB,"$6,000","$6,000",0
Tommy,DeVito,NYG,QB,"$6,000","$6,000",0
