Player,wk7,wk6,wk5,wk4,wk3,wk2,wk1
Austin Reed(CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Allen(SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane Buechele(BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stetson Bennett(LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanner McKee(PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanner Mordecai(SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bailey Zappe(KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Clifford(GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easton Stick(LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Peterman(ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike White(BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feleipe Franks(CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Cantwell(BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Plummer(CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Fromm(DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorian Thompson-Robinson(CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Leary(BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaren Hall(SEA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Bean(IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desmond Ridder(ARI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Driskel(WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Froman(ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Rhys Plumlee(JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clayton Tune(ARI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case Keenum(HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carter Bradley(LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedon Slovis(HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Allen(PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Trask(TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brett Smith(TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Ainge(NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Cunningham(BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brett Rypien(MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Pratt(TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logan Woodside(CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Luton(FA),,,,,,,0.0
