season,season_type,week,player_id,player_name,position,position_group,recent_team,opponent_team,fantasy_points,fantasy_points_ppr,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr
2023,REG,13,00-0033288,G.Kittle,TE,TE,SF,PHI,6.8,10.8,4,6,68.0,0,0.0,0.0,22.0,48.0,3.0,3.171574,0,3.090909,0.24,0.1594203,0.4715942
2023,REG,13,00-0027696,J.Graham,TE,TE,NO,DET,6.6,7.6,1,1,6.0,1,0.0,0.0,6.0,0.0,1.0,1.8686732,0,1.0,0.03448276,0.023622047,0.068259574
2023,REG,13,00-0038809,B.Sims,TE,TE,GB,KC,6.1,7.1,1,1,1.0,1,0.0,0.0,1.0,0.0,1.0,0.713229,0,1.0,0.028571429,0.0037453184,0.045478866
2023,REG,13,00-0039065,S.LaPorta,TE,TE,DET,NO,20.0,29.0,9,9,140.0,1,0.0,0.0,83.0,57.0,5.0,11.645446,0,1.686747,0.36,0.46368715,0.864581
2023,REG,13,00-0036422,A.Trautman,TE,TE,DEN,HOU,0.6,1.6,1,2,6.0,0,0.0,0.0,13.0,1.0,0.0,-0.37280682,0,0.46153846,0.083333336,0.041401275,0.1539809
2023,REG,13,00-0037744,T.McBride,TE,TE,ARI,PIT,14.9,22.9,8,9,89.0,1,0.0,0.0,46.0,48.0,5.0,7.4303484,0,1.9347826,0.39130434,0.26589596,0.7730837
2023,REG,13,00-0036637,N.Gray,TE,TE,KC,GB,6.2,7.2,1,1,2.0,1,0.0,0.0,2.0,0.0,1.0,1.9377468,0,1.0,0.033333335,0.008695652,0.056086957
2023,REG,13,00-0033576,E.Saubert,TE,TE,HOU,DEN,0.5,1.5,1,1,5.0,0,0.0,0.0,4.0,1.0,0.0,0.08912744,0,1.25,0.037037037,0.014035088,0.06538012
2023,REG,13,00-0036423,A.Okwuegbunam,TE,TE,PHI,SF,0.0,0.0,0,1,0.0,0,0.0,0.0,10.0,0.0,0.0,-0.42506695,0,0.0,0.023809524,0.033444814,0.059125658
2023,REG,13,00-0036438,S.Sullivan,TE,TE,CAR,TB,1.6,2.6,1,2,16.0,0,0.0,0.0,28.0,1.0,1.0,1.1869329,0,0.5714286,0.07692308,0.09556314,0.18227881
