season,season_type,week,player_id,player_name,position,position_group,recent_team,opponent_team,fantasy_points,fantasy_points_ppr,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr
2023,REG,13,00-0036259,J.Jennings,WR,WR,SF,PHI,10.4,13.4,3,4,44.0,1,0.0,0.0,38.0,21.0,2.0,5.61436,0,1.1578947,0.16,0.2753623,0.43275362
2023,REG,13,00-0035216,D.Johnson,WR,WR,PIT,ARI,9.3,13.3,4,5,33.0,1,0.0,0.0,75.0,5.0,3.0,1.4278451,0,0.44,0.18518518,0.33632287,0.5132038
2023,REG,13,00-0035676,A.Brown,WR,WR,PHI,SF,11.4,19.4,8,13,114.0,0,0.0,0.0,107.0,62.0,5.0,8.199594,0,1.0654205,0.30952382,0.35785952,0.71478736
2023,REG,13,00-0033921,C.Godwin,WR,WR,TB,CAR,7.9,7.9,0,3,0.0,0,0.0,0.0,50.0,0.0,0.0,-2.2361112,0,0.0,0.11111111,0.1650165,0.28217822
2023,REG,13,00-0035662,M.Brown,WR,WR,ARI,PIT,0.0,0.0,0,3,0.0,0,0.0,0.0,14.0,0.0,0.0,-2.7888148,0,0.0,0.13043478,0.08092485,0.25229958
2023,REG,13,00-0038752,J.Bobo,WR,WR,SEA,DAL,0.9,1.9,1,1,9.0,0,0.0,0.0,-2.0,11.0,0.0,-0.24020655,0,0.0,0.02631579,-0.008196721,0.03373598
2023,REG,13,00-0036626,D.Brown,WR,WR,WAS,MIA,0.0,1.0,1,1,0.0,0,0.0,0.0,-1.0,1.0,0.0,-0.4259981,0,0.0,0.045454547,-0.0058479533,0.06408825
2023,REG,13,00-0039075,P.Nacua,WR,WR,LA,CLE,19.9,23.9,4,7,105.0,1,0.0,0.0,105.0,57.0,3.0,1.5429467,0,1.0,0.20588236,0.38602942,0.5790441
2023,REG,13,00-0038612,A.Perry,WR,WR,NO,DET,3.0,4.0,1,3,30.0,0,0.0,0.0,58.0,2.0,1.0,0.5150979,0,0.51724136,0.10344828,0.22834645,0.31501493
2023,REG,13,00-0037801,K.Turpin,WR,WR,DAL,SEA,1.0,2.0,1,3,10.0,0,0.0,0.0,5.0,0.0,1.0,1.3356737,0,2.0,0.075,0.02183406,0.12778385
2023,REG,13,00-0038997,J.Downs,WR,WR,IND,TEN,1.4,4.4,3,5,14.0,0,0.0,0.0,9.0,16.0,0.0,-1.7548696,0,1.5555556,0.12195122,0.029315962,0.203448
2023,REG,13,00-0036261,B.Aiyuk,WR,WR,SF,PHI,10.6,15.6,5,7,46.0,1,0.0,0.0,44.0,9.0,3.0,5.0771503,0,1.0454545,0.28,0.3188406,0.6431884
2023,REG,13,00-0032543,A.Erickson,WR,WR,LAC,NE,2.3,3.3,1,1,23.0,0,0.0,0.0,23.0,0.0,1.0,2.615719,0,1.0,0.027777778,0.0858209,0.10174129
2023,REG,13,00-0035341,T.Irwin,WR,WR,CIN,JAX,2.5,3.5,1,1,25.0,0,0.0,0.0,16.0,9.0,1.0,1.6081811,0,1.5625,0.027027028,0.11188811,0.11886222
2023,REG,13,00-0036233,D.Peoples-Jones,WR,WR,DET,NO,0.0,0.0,0,1,0.0,0,0.0,0.0,8.0,0.0,0.0,-0.9236282,0,0.0,0.04,0.044692736,0.091284916
2023,REG,13,00-0039062,J.Mingo,WR,WR,CAR,TB,6.9,12.9,6,10,69.0,0,1.0,0.0,95.0,30.0,2.0,1.3854008,0,0.7263158,0.3846154,0.32423207,0.8038855
2023,REG,13,00-0033009,T.Boyd,WR,WR,CIN,JAX,2.2,7.2,5,7,37.0,0,0.0,0.0,30.0,10.0,1.0,2.6653237,0,1.2333333,0.1891892,0.20979021,0.43063694
2023,REG,13,00-0038606,P.Washington,WR,WR,JAX,CIN,12.1,18.1,6,6,61.0,1,0.0,0.0,50.0,11.0,2.0,6.4545245,0,1.22,0.15384616,0.113895215,0.31049588
2023,REG,13,00-0035640,D.Metcalf,WR,WR,SEA,DAL,31.4,37.4,6,8,134.0,3,0.0,0.0,93.0,66.0,6.0,14.883605,0,1.4408603,0.21052632,0.38114753,0.5825927
2023,REG,13,00-0037240,J.Williams,WR,WR,DET,NO,9.0,10.0,1,1,11.0,0,0.0,0.0,11.0,0.0,1.0,2.084051,0,1.0,0.04,0.061452515,0.10301676
2023,REG,13,00-0038543,J.Smith-Njigba,WR,WR,SEA,DAL,6.2,13.2,7,11,62.0,0,0.0,0.0,49.0,48.0,4.0,-0.15513736,0,1.2653061,0.28947368,0.20081967,0.5747843
2023,REG,13,00-0036364,L.Bowden,WR,WR,NO,DET,-0.1,0.9,1,1,5.0,0,0.0,0.0,5.0,0.0,0.0,-0.021457648,0,1.0,0.03448276,0.01968504,0.065503664
2023,REG,13,00-0037487,D.Thompkins,WR,WR,TB,CAR,1.1,2.1,1,1,4.0,0,0.0,0.0,4.0,0.0,0.0,-0.47591704,0,1.0,0.037037037,0.013201321,0.06479648
