year,week,player_id,player,firstName,lastName,position,team,This Week Salary,Last Week Salary,Salary Differential,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct,projected_points,projected_points_ppr,projected_points_half,projected_receptions,projected_reception_yards,projected_reception_tds,wk6 %rostered,wk5 %rostered,wk4 %rostered,wk3 %rostered,wk2 %rostered,wk1 %rostered
2024,8,4360797,Tutu Atwell,Tutu,Atwell,WR,LAR,"$5,600","$5,800",-200,1,2,50.0%,8,8.0,0,13.3%,4.32,6.74,5.53,2.42,32.11,0.16,18.8,18.8,18.8,18.8,18.8,18.8
2024,8,4032473,Rashid Shaheed,Rashid,Shaheed,WR,NO,"$4,000","$6,800","-2,800",2,4,50.0%,5,2.5,0,40.0%,,,,,,,37.4,37.4,37.4,37.4,37.4,37.4
2024,8,4239993,Tee Higgins,Tee,Higgins,WR,CIN,"$7,500","$7,800",-300,4,6,66.7%,37,9.3,2,27.3%,9.89,15.24,12.56,5.35,72.72,0.46,94.7,94.7,94.7,94.7,94.7,94.7
2024,8,4035687,Michael Pittman Jr.,Michael,Pittman Jr.,WR,IND,,,,,,,,,,,6.28,10.39,8.33,4.11,50.0,0.23,91.1,91.1,91.1,91.1,91.1,91.1
2024,8,16737,Mike Evans,Mike,Evans,WR,TB,"$8,400","$8,200",+200,4,8,50.0%,22,5.5,4,40.0%,,,,,,,97.8,97.8,97.8,97.8,97.8,97.8
2024,8,3126486,Deebo Samuel Sr.,Deebo,Samuel Sr.,WR,SF,,,,,,,,,,,10.89,15.36,13.12,4.46,66.03,0.36,98.4,98.4,98.4,98.4,98.4,98.4
2024,8,4360248,Kyle Pitts,Kyle,Pitts,WR,ATL,,,,,,,,,,,,,,,,,,,,,,
2024,8,4635008,Keon Coleman,Keon,Coleman,WR,BUF,"$5,600","$5,900",-300,2,6,33.3%,13,6.5,0,42.9%,5.55,8.38,6.96,2.83,40.62,0.26,53.7,53.7,53.7,53.7,53.7,53.7
2024,8,4047646,A.J. Brown,A.J.,Brown,WR,PHI,,,,,,,,,,,10.85,16.47,13.66,5.63,80.19,0.49,,,,,,
2024,8,4361307,Trey McBride,Trey,McBride,WR,ARI,,,,,,,,,,,,,,,,,,,,,,
2024,8,3895856,Christian Kirk,Christian,Kirk,WR,JAX,"$5,900","$6,100",-200,2,5,40.0%,18,9.0,1,22.7%,5.98,9.58,7.78,3.6,44.83,0.26,76.3,76.3,76.3,76.3,76.3,76.3
2024,8,4430878,Jaxon Smith-Njigba,Jaxon,Smith-Njigba,WR,SEA,,,,,,,,,,,8.14,13.69,10.92,5.55,61.12,0.36,85.7,85.7,85.7,85.7,85.7,85.7
2024,8,2976499,Amari Cooper,Amari,Cooper,WR,BUF,"$7,100","$6,100","+1,000",3,4,75.0%,28,9.3,2,25.0%,8.41,12.72,10.57,4.32,60.14,0.41,94.8,94.8,94.8,94.8,94.8,94.8
2024,8,3915416,DJ Moore,DJ,Moore,WR,CHI,"$6,600",-,-,5,9,55.6%,24,4.8,1,42.9%,9.09,14.24,11.66,5.15,67.08,0.4,96.7,96.7,96.7,96.7,96.7,96.7
2024,8,4373678,Khalil Shakir,Khalil,Shakir,WR,BUF,"$5,800","$6,200",-400,3,3,100.0%,22,7.3,1,21.4%,6.7,10.79,8.75,4.1,48.77,0.3,68.6,68.6,68.6,68.6,68.6,68.6
2024,8,3046439,Hunter Henry,Hunter,Henry,WR,NE,,,,,,,,,,,,,,,,,,,,,,
2024,8,3916945,Darius Slayton,Darius,Slayton,WR,NYG,"$6,000","$6,000",0,0,2,0.0%,0,0,0,11.1%,4.5,7.19,5.85,2.69,34.61,0.18,14.6,14.6,14.6,14.6,14.6,14.6
2024,8,4361432,Romeo Doubs,Romeo,Doubs,WR,GB,"$6,100","$6,000",+100,5,6,83.3%,54,10.8,2,31.6%,7.07,11.26,9.16,4.19,49.73,0.37,64.6,64.6,64.6,64.6,64.6,64.6
2024,8,4427366,Breece Hall,Breece,Hall,WR,NYJ,,,,,,,,,,,15.22,19.45,17.34,4.23,32.47,0.18,,,,,,
2024,8,4569587,Wan'Dale Robinson,Wan'Dale,Robinson,WR,NYG,,,,,,,,,,,5.95,11.04,8.5,5.09,47.73,0.19,,,,,,
2024,8,3121023,Dallas Goedert,Dallas,Goedert,WR,PHI,,,,,,,,,,,,,,,,,,,,,,
2024,8,4241478,DeVonta Smith,DeVonta,Smith,WR,PHI,"$7,300","$7,700",-400,2,4,50.0%,18,9.0,1,40.0%,8.11,13.06,10.58,4.95,60.36,0.36,96.7,96.7,96.7,96.7,96.7,96.7
2024,8,4432708,Marvin Harrison Jr.,Marvin,Harrison Jr.,WR,ARI,,,,,,,,,,,8.01,12.2,10.11,4.2,57.55,0.39,98.3,98.3,98.3,98.3,98.3,98.3
2024,8,3116406,Tyreek Hill,Tyreek,Hill,WR,MIA,"$7,600","$7,900",-300,1,4,25.0%,10,10.0,0,33.3%,12.24,18.54,15.39,6.3,88.34,0.52,99.7,99.7,99.7,99.7,99.7,99.7
2024,8,4249417,Jalen Tolbert,Jalen,Tolbert,WR,DAL,"$6,000",-,-,3,5,60.0%,23,7.7,2,29.4%,5.69,9.04,7.37,3.35,42.2,0.25,20.8,20.8,20.8,20.8,20.8,20.8
2024,8,4258595,Cole Kmet,Cole,Kmet,WR,CHI,,,,,,,,,,,,,,,,,,,,,,
2024,8,4428331,Rashee Rice,Rashee,Rice,WR,KC,"$4,000","$4,000",0,2,2,100.0%,10,5.0,1,15.4%,,,,,,,42.2,42.2,42.2,42.2,42.2,42.2
2024,8,4361370,Chris Olave,Chris,Olave,WR,NO,"$6,700","$6,900",-200,3,3,100.0%,48,16.0,1,30.0%,7.27,11.85,9.56,4.59,58.1,0.26,96.1,96.1,96.1,96.1,96.1,96.1
