year,week,player_id,player,position,team,points,points_ppr,points_half,receptions,reception_yards,reception_tds
2024,5,2975863,Eric Saubert,WR,SF,,,,,,
2024,5,3047876,KhaDarel Hodge,WR,ATL,1.23,1.9,1.56,0.68,8.95,0.06
2024,5,4061956,Ashton Dulin,WR,IND,1.03,1.6,1.31,0.57,6.76,0.06
2024,5,3116365,Mark Andrews,WR,BAL,,,,,,
2024,5,3915411,Ty Johnson,WR,BUF,2.1,3.21,2.66,1.11,8.88,0.06
2024,5,4360086,Josh Whyle,WR,TEN,,,,,,
2024,5,4430637,Ja'Lynn Polk,WR,NE,3.72,6.2,4.96,2.48,28.8,0.14
2024,5,2580216,DeAndre Carter,WR,CHI,0.58,1.01,0.79,0.43,4.52,0.0
2024,5,3924365,Hayden Hurst,WR,LAC,,,,,,
2024,5,4430834,Jalen McMillan,WR,TB,,,,,,
2024,5,4360569,Jordan Mason,WR,SF,15.33,17.14,16.24,1.82,12.91,0.08
2024,5,4685247,Braelon Allen,WR,NYJ,5.65,7.26,6.46,1.62,10.71,0.06
2024,5,4241374,Grant Calcaterra,WR,PHI,,,,,,
2024,5,2976592,Sterling Shepard,WR,TB,2.83,4.73,3.78,1.9,20.74,0.13
2024,5,3676833,KaVontae Turpin,WR,DAL,3.22,4.75,3.99,1.53,18.93,0.13
2024,5,4361529,Isiah Pacheco,WR,KC,,,,,,
2024,5,4426844,Elijah Higgins,WR,ARI,,,,,,
2024,5,3045147,James Conner,WR,ARI,11.0,13.0,12.0,2.01,14.3,0.08
2024,5,4047365,Josh Jacobs,WR,GB,11.54,13.97,12.75,2.43,18.67,0.1
2024,5,4372780,Tommy Tremble,WR,CAR,,,,,,
2024,5,4692835,Jalen Brooks,WR,DAL,2.25,3.62,2.93,1.37,17.11,0.09
2024,5,4360635,Chig Okonkwo,WR,TEN,,,,,,
2024,5,4039160,Kylen Granson,WR,IND,,,,,,
2024,5,4242392,Brock Wright,WR,DET,,,,,,
2024,5,15818,Keenan Allen,WR,CHI,6.45,10.74,8.59,4.29,48.0,0.29
2024,5,3121427,Curtis Samuel,WR,BUF,4.93,8.04,6.49,3.11,33.25,0.2
2024,5,4239996,Travis Etienne Jr.,WR,JAX,10.82,13.64,12.23,2.82,21.65,0.1
2024,5,4372096,Luke Schoonmaker,WR,DAL,,,,,,
2024,5,4429033,Jermaine Burton,WR,CIN,0.35,0.54,0.45,0.2,2.44,0.02
2024,5,2991662,Mack Hollins,WR,BUF,4.41,6.79,5.6,2.38,31.49,0.21
2024,5,4596448,Bucky Irving,WR,TB,7.27,9.02,8.15,1.75,12.26,0.05
2024,5,3043078,Derrick Henry,WR,BAL,15.03,16.45,15.74,1.42,11.98,0.07
2024,5,3843945,Foster Moreau,WR,NO,,,,,,
2024,5,4360405,Jake Bobo,WR,SEA,1.04,1.68,1.36,0.64,7.46,0.05
2024,5,4373626,Tyler Allgeier,WR,ATL,5.85,6.96,6.4,1.11,8.12,0.04
2024,5,4426407,Trey Palmer,WR,TB,,,,,,
2024,5,4426496,Cade Stover,WR,HOU,,,,,,
2024,5,3052096,Johnny Mundt,WR,MIN,,,,,,
2024,5,3116385,Joe Mixon,WR,HOU,,,,,,
2024,5,3123076,David Njoku,WR,CLE,,,,,,
2024,5,4241985,J.K. Dobbins,WR,LAC,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,4567048,Kenneth Walker III,WR,SEA,12.74,14.79,13.77,2.05,16.18,0.08
2024,5,4360516,Tyrone Tracy Jr.,WR,NYG,7.93,10.07,9.0,2.14,15.52,0.06
2024,5,4430802,Darnell Washington,WR,PIT,,,,,,
2024,5,4576297,AJ Barner,WR,SEA,,,,,,
2024,5,3929645,Juwan Johnson,WR,NO,,,,,,
