Year,Week,FantasyPros_ID,Player,Player,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,Rank_rz,REC_rz,TGT_rz,REC PCT_rz,YDS_rz,Y/R_rz,TD_rz,TGT PCT_rz,ATT_rz,YDS_rz,TD_rz,PCT_rz,FL_rz,G_rz,FPTS_rz,FPTS/G_rz,ROST %_rz
2017,9,11459,Cole Beasley,Cole Beasley (FA),1,4,24,20,0,4,0,0,6,4,0,2,0,0,0,0,0,1,2,2,100.0%,13,6.5,2,50.0%,0,0,0,0%,0,1,13.3,13.3,0.0%
2017,10,11610,Robert Woods,Robert Woods (PIT),1,8,171,81,0,90,10,1,10,8,0,1,4,2,2,1,1,4,2,2,100.0%,15,7.5,1,66.7%,0,0,0,0%,0,1,7.5,7.5,1.6%
2017,10,16427,JuJu Smith-Schuster,JuJu Smith-Schuster (KC),1,5,97,74,0,23,3,0,7,6,1,0,4,2,1,1,0,8,1,1,100.0%,7,7.0,1,100.0%,0,0,0,0%,0,1,6.7,6.7,1.8%
2017,11,9808,Antonio Brown,Antonio Brown (FA),1,10,144,134,0,10,0,0,13,10,0,2,7,2,1,1,0,1,3,4,75.0%,21,7.0,2,50.0%,0,0,0,0%,0,1,14.1,14.1,1.0%
2017,11,9383,Larry Fitzgerald,Larry Fitzgerald (FA),1,9,91,54,0,37,16,0,10,9,0,0,4,2,0,0,0,2,1,1,100.0%,20,20.0,1,100.0%,0,0,0,0%,0,1,8.0,8.0,0.8%
2017,11,11199,Alshon Jeffery,Alshon Jeffery (FA),1,4,67,62,0,5,0,0,7,4,0,2,4,1,0,0,0,4,1,2,50.0%,17,17.0,1,40.0%,0,0,0,0%,0,1,7.7,7.7,0.0%
2017,12,9808,Antonio Brown,Antonio Brown (FA),1,10,169,124,0,45,7,0,12,10,0,0,8,4,2,0,0,7,2,2,100.0%,12,6.0,1,33.3%,0,0,0,0.0%,0,1,7.2,7.2,1.0%
2017,12,13976,Jamison Crowder,Jamison Crowder (FA),1,7,141,73,0,68,25,0,10,7,0,0,6,3,2,0,0,1,2,2,100.0%,25,12.5,1,50.0%,0,0,0,0%,0,1,8.5,8.5,1.0%
2017,12,11548,Jermaine Kearse,Jermaine Kearse (FA),1,7,105,54,0,51,34,1,11,7,0,1,5,1,1,1,0,4,2,2,100.0%,17,8.5,1,100.0%,0,0,0,0%,0,1,7.7,7.7,0.0%
2017,13,9857,A.J. Green,A.J. Green (FA),1,7,77,66,0,11,2,0,16,9,2,3,4,0,0,0,0,1,2,5,40.0%,23,11.5,2,83.3%,0,0,0,0%,0,1,14.3,14.3,0.7%
2017,13,11616,Keenan Allen,Keenan Allen (FA),1,10,105,71,0,34,11,0,14,10,0,3,5,2,0,0,0,2,4,7,57.1%,25,6.3,1,87.5%,0,0,0,0%,0,1,8.5,8.5,20.7%
2017,13,9383,Larry Fitzgerald,Larry Fitzgerald (FA),1,10,98,67,0,31,14,1,10,10,0,1,6,1,0,0,0,3,2,2,100.0%,21,10.5,1,100.0%,0,0,0,0%,0,1,8.1,8.1,0.8%
2017,14,12128,Jarvis Landry,Jarvis Landry (FA),1,8,46,0,0,46,8,1,8,8,0,1,1,0,0,0,0,1,3,3,100.0%,15,5.0,2,75.0%,0,0,0,0%,0,1,13.5,13.5,7.1%
2017,15,16117,Jaydon Mickens,Jaydon Mickens (FA),1,4,61,36,0,25,8,0,5,4,0,2,2,1,1,1,0,2,2,3,66.7%,19,9.5,2,75.0%,0,0,0,0%,0,1,13.9,13.9,0.0%
2017,15,9460,Michael Crabtree,Michael Crabtree (FA),1,7,39,28,0,11,1,0,17,8,1,1,1,0,0,0,0,3,3,5,60.0%,8,2.7,2,100.0%,0,0,0,0%,0,1,12.8,12.8,0.0%
2017,15,15528,Michael Thomas,Michael Thomas (FA),1,9,93,50,0,43,18,0,11,10,1,3,3,1,0,0,0,5,3,4,75.0%,19,6.3,1,57.1%,0,0,0,0.0%,0,1,7.9,7.9,1.2%
2017,16,9383,Larry Fitzgerald,Larry Fitzgerald (FA),1,9,119,85,0,34,13,0,15,11,2,1,7,2,0,0,0,3,2,4,50.0%,16,8.0,1,80.0%,0,0,0,0%,0,1,7.6,7.6,0.8%
2017,16,16427,JuJu Smith-Schuster,JuJu Smith-Schuster (KC),1,6,75,18,0,57,0,1,7,6,0,1,2,1,1,1,0,2,1,1,100.0%,18,18.0,1,25.0%,0,0,0,0%,0,1,7.8,7.8,1.8%
