season,week,player_id,FirstName_Initial,FirstName,LastName,recent_team,games_played,current_week_salary,last_week_salary,salary_diff,rushing_yards,rush_yds_per_game,carries,carries_per_game,avg_yds_per_carry,carries_last3_games_played,avg_carries_last3_games_played,receptions,receptions_per_game,rec_last3_games_played,avg_rec_last3_games_played,red_zone_rush_att,red_zone_rush_yds,red_zone_rush_y/a,red_zone_rush_td,red_zone_rush_pct,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct,avg_12_carries_or_receptions_bool,avg_carries_last3_games_played_bool,avg_rec_last3_games_played_bool,avg_15_rec_or_carries_last3_games_bool,avg_4yds_per_carry_bool
2024,10,00-0036875,r,rhamondre,stevenson,NE,8,"$7,000","$6,800",+200,438,54.8,114,14.2,3.84,37,12.3,23,2.9,10,3.3,19,22,1.2,5,70.4%,7,9,77.8%,25,3.6,1,81.8%,True,False,False,False,False
2024,10,00-0039040,d,devon,achane,MIA,8,"$8,000","$7,800",+200,420,52.5,93,11.6,4.52,37,12.3,37,4.6,16,5.3,14,22,1.6,2,46.7%,7,8,87.5%,41,5.9,3,88.9%,False,False,False,False,True
2024,10,00-0039361,b,bucky,irving,TB,9,"$6,300","$6,300",0,419,46.6,83,9.2,5.05,25,8.3,23,2.6,13,4.3,17,70,4.1,3,65.4%,2,2,100.0%,8,4.0,0,25.0%,False,False,False,False,True
2024,10,00-0033923,k,kareem,hunt,KC,5,"$8,300","$8,400",-100,414,82.8,111,22.2,3.73,70,23.3,7,1.4,4,1.3,25,65,2.6,5,59.5%,3,3,100.0%,16,5.3,0,37.5%,True,True,False,True,False
2024,10,00-0038134,k,nan,walker,SEA,7,,,,398,56.9,99,14.1,4.02,48,16.0,30,4.3,9,3.0,,,,,,,,,,,,,True,True,False,True,True
2024,10,00-0036997,j,javonte,williams,DEN,9,"$6,000","$6,000",0,387,43.0,102,11.3,3.79,43,14.3,29,3.2,9,3.0,19,50,2.6,2,61.3%,1,2,50.0%,11,11.0,0,33.3%,False,False,False,False,False
2024,10,00-0037263,t,tyler,allgeier,ATL,9,"$5,900","$5,600",+300,370,41.1,74,8.2,5.0,23,7.7,8,0.9,1,0.3,18,41,2.3,2,43.9%,1,1,100.0%,3,3.0,0,20.0%,False,False,False,False,True
2024,10,00-0036139,r,rico,dowdle,DAL,7,"$6,200","$6,000",+200,321,45.9,71,10.1,4.52,37,12.3,21,3.0,12,4.0,5,17,3.4,0,38.5%,3,3,100.0%,14,4.7,2,60.0%,False,False,False,False,True
2024,10,00-0034972,a,nan,mattison,LV,9,,,,301,33.4,92,10.2,3.27,46,15.3,22,2.4,8,2.7,,,,,,,,,,,,,False,True,False,True,False
2024,10,00-0035250,d,devin,singletary,NYG,7,"$5,600","$6,100",-500,283,40.4,70,10.0,4.04,14,4.7,13,1.9,3,1.0,8,25,3.1,2,40.0%,0,0,0%,0,0,0,0.0%,False,False,False,False,True
2024,10,00-0033699,a,austin,ekeler,WAS,8,"$6,800","$5,500","+1,300",282,35.2,50,6.2,5.64,22,7.3,22,2.8,7,2.3,15,60,4.0,1,28.3%,2,3,66.7%,7,3.5,0,50.0%,False,False,False,False,True
2024,10,00-0037256,r,rachaad,white,TB,8,"$6,400","$6,500",-100,275,34.4,70,8.8,3.93,19,6.3,31,3.9,14,4.7,7,23,3.3,1,26.9%,6,6,100.0%,37,6.2,2,75.0%,False,False,False,False,False
2024,10,00-0037267,j,nan,ford,CLE,7,,,,269,38.4,52,7.4,5.17,13,4.3,21,3.0,4,1.3,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0039875,r,remahn,davis,BUF,9,"$5,800","$5,500",+300,262,29.1,61,6.8,4.3,15,5.0,10,1.1,3,1.0,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0036973,t,nan,etienne,JAX,7,,,,254,36.3,59,8.4,4.31,12,4.0,18,2.6,8,2.7,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0038797,e,nan,wilson,GB,9,,,,254,28.2,55,6.1,4.62,13,4.3,9,1.0,3,1.0,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0036251,z,zack,moss,CIN,8,"$5,000","$5,800",-800,242,30.2,74,9.2,3.27,17,5.7,23,2.9,8,2.7,16,43,2.7,2,50.0%,2,3,66.7%,5,2.5,1,33.3%,False,False,False,False,False
2024,10,00-0036328,a,antonio,gibson,NE,9,"$5,200","$5,400",-200,236,26.2,57,6.3,4.14,9,3.0,13,1.4,2,0.7,7,16,2.3,0,25.9%,1,1,100.0%,7,7.0,0,9.1%,False,False,False,False,True
2024,10,00-0039363,i,isaac,guerendo,SF,7,"$6,700",-,-,227,32.4,37,5.3,6.14,25,8.3,4,0.6,4,1.3,7,25,3.6,1,15.9%,0,0,0%,0,0,0,0.0%,False,False,False,False,True
2024,10,00-0031687,r,raheem,mostert,MIA,5,"$6,200","$6,400",-200,214,42.8,55,11.0,3.89,30,10.0,7,1.4,3,1.0,10,18,1.8,2,33.3%,0,0,0%,0,0,0,0.0%,False,False,False,False,False
2024,10,00-0039165,z,nan,charbonnet,SEA,9,,,,213,23.7,61,6.8,3.49,12,4.0,25,2.8,6,2.0,,,,,,,,,,,,,False,False,False,False,False
2024,10,00-0038794,j,jaleel,mclaughlin,DEN,9,"$5,400","$5,200",+200,208,23.1,53,5.9,3.92,17,5.7,16,1.8,4,1.3,7,18,2.6,1,22.6%,3,3,100.0%,11,3.7,2,50.0%,False,False,False,False,False
2024,10,00-0039874,j,jaylen,wright,MIA,7,"$4,900","$5,000",-100,208,29.7,42,6.0,4.95,13,4.3,0,0.0,0,0.0,4,8,2.0,0,13.3%,0,0,0%,0,0,0,0.0%,False,False,False,False,True
2024,10,00-0039794,b,braelon,allen,NYJ,9,"$5,700","$6,000",-300,196,21.8,53,5.9,3.7,18,6.0,9,1.0,1,0.3,5,29,5.8,2,23.8%,1,1,100.0%,12,12.0,1,16.7%,False,False,False,False,False
2024,10,00-0038951,s,sean,tucker,TB,6,"$5,100","$5,400",-300,186,31.0,26,4.3,7.15,10,3.3,7,1.2,3,1.0,2,13,6.5,1,7.7%,0,0,0%,0,0,0,0.0%,False,False,False,False,True
