year,week,player_id,player,firstName,lastName,position,team,points,points_ppr,points_half,receptions,reception_yards,reception_tds,This Week,Last Week,Difference
2024,7,3929645,Juwan Johnson,Juwan,Johnson,WR,NO,,,,,,,,,
2024,7,4569559,Devaughn Vele,Devaughn,Vele,WR,DEN,4.31,7.13,5.72,2.83,34.06,0.16,"$4,700","$4,000",+700
2024,7,4429148,Theo Johnson,Theo,Johnson,WR,NYG,,,,,,,,,
2024,7,2971618,Nelson Agholor,Nelson,Agholor,WR,BAL,2.85,4.35,3.6,1.51,20.38,0.14,"$4,700","$4,900",-200
2024,7,3843945,Foster Moreau,Foster,Moreau,WR,NO,,,,,,,,,
2024,7,3127292,Will Dissly,Will,Dissly,WR,LAC,,,,,,,,,
2024,7,4360294,Antonio Gibson,Antonio,Gibson,WR,NE,7.27,9.15,8.21,1.88,14.81,0.05,,,
2024,7,16460,Adam Thielen,Adam,Thielen,WR,CAR,,,,,,,"$5,000","$5,000",0
2024,7,2973405,Kalif Raymond,Kalif,Raymond,WR,DET,1.7,2.67,2.18,0.97,11.92,0.07,"$4,400","$4,500",-100
2024,7,4242433,Joshua Palmer,Joshua,Palmer,WR,LAC,5.02,7.96,6.49,2.94,35.22,0.26,"$5,200","$5,100",+100
2024,7,3051876,Evan Engram,Evan,Engram,WR,JAX,,,,,,,,,
2024,7,4429022,Kayshon Boutte,Kayshon,Boutte,WR,NE,3.29,5.16,4.22,1.87,24.06,0.15,"$4,600","$4,600",0
2024,7,4361577,Dyami Brown,Dyami,Brown,WR,WSH,1.92,2.94,2.43,1.02,13.34,0.1,"$4,800","$4,800",0
2024,7,4429795,Jahmyr Gibbs,Jahmyr,Gibbs,WR,DET,11.28,14.36,12.82,3.08,22.1,0.13,,,
2024,7,4426948,Luke McCaffrey,Luke,McCaffrey,WR,WSH,2.58,4.23,3.41,1.65,18.51,0.12,"$4,300","$4,500",-200
2024,7,4427834,Erick All Jr.,Erick,All Jr.,WR,CIN,,,,,,,,,
2024,7,4047365,Josh Jacobs,Josh,Jacobs,WR,GB,11.0,13.44,12.22,2.44,16.91,0.09,,,
2024,7,2998565,Mo Alie-Cox,Mo,Alie-Cox,WR,IND,,,,,,,,,
2024,7,4360516,Tyrone Tracy Jr.,Tyrone,Tracy Jr.,WR,NYG,7.08,9.05,8.06,1.97,14.67,0.06,,,
2024,7,3128452,Jordan Akins,Jordan,Akins,WR,CLE,,,,,,,,,
2024,7,4241263,Charlie Kolar,Charlie,Kolar,WR,BAL,,,,,,,,,
2024,7,4695883,Jalen Coker,Jalen,Coker,WR,CAR,2.79,4.62,3.7,1.83,20.85,0.1,"$4,200","$4,000",+200
2024,7,4372414,Elijah Moore,Elijah,Moore,WR,CLE,4.16,7.21,5.69,3.05,30.97,0.18,"$4,600","$4,700",-100
2024,7,4035538,David Montgomery,David,Montgomery,WR,DET,11.08,12.76,11.92,1.68,12.35,0.04,,,
2024,7,4241416,Chuba Hubbard,Chuba,Hubbard,WR,CAR,11.91,15.04,13.47,3.14,22.86,0.1,,,
2024,7,3121427,Curtis Samuel,Curtis,Samuel,WR,BUF,2.32,3.59,2.95,1.28,13.01,0.09,"$5,100","$5,400",-300
2024,7,3929630,Saquon Barkley,Saquon,Barkley,WR,PHI,14.46,17.22,15.84,2.76,19.7,0.14,,,
2024,7,16731,Brandin Cooks,Brandin,Cooks,WR,DAL,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,7,4239996,Travis Etienne Jr.,Travis,Etienne Jr.,WR,JAX,2.17,2.8,2.49,0.63,4.72,0.03,,,
2024,7,4383396,Hunter Luepke,Hunter,Luepke,WR,DAL,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,7,4431588,Ja'Tavion Sanders,Ja'Tavion,Sanders,WR,CAR,,,,,,,,,
2024,7,3123076,David Njoku,David,Njoku,WR,CLE,,,,,,,,,
2024,7,3045147,James Conner,James,Conner,WR,ARI,11.26,13.15,12.21,1.89,12.74,0.08,,,
2024,7,16002,Kyle Juszczyk,Kyle,Juszczyk,WR,SF,1.57,2.83,2.2,1.27,9.4,0.07,,,
2024,7,3118892,Justin Watson,Justin,Watson,WR,KC,2.2,3.34,2.77,1.14,16.18,0.1,"$5,400",-,-
2024,7,4372019,Jerome Ford,Jerome,Ford,WR,CLE,1.37,1.81,1.59,0.44,2.76,0.02,,,
2024,7,3043275,Austin Hooper,Austin,Hooper,WR,NE,,,,,,,,,
2024,7,3916148,Tony Pollard,Tony,Pollard,WR,TEN,11.73,14.39,13.06,2.65,18.7,0.08,,,
2024,7,2991662,Mack Hollins,Mack,Hollins,WR,BUF,1.18,1.8,1.49,0.62,7.74,0.07,"$5,200","$5,300",-100
2024,7,4597500,Adonai Mitchell,Adonai,Mitchell,WR,IND,3.49,5.31,4.4,1.83,23.82,0.16,"$4,900","$5,000",-100
2024,7,2976592,Sterling Shepard,Sterling,Shepard,WR,TB,2.66,4.15,3.4,1.49,17.65,0.12,"$5,000","$4,900",+100
2024,7,4430637,Ja'Lynn Polk,Ja'Lynn,Polk,WR,NE,3.69,5.95,4.82,2.26,27.54,0.16,,,
2024,7,4242335,Jonathan Taylor,Jonathan,Taylor,WR,IND,12.56,14.24,13.4,1.68,13.41,0.06,,,
2024,7,4692835,Jalen Brooks,Jalen,Brooks,WR,DAL,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,7,4428557,Tyjae Spears,Tyjae,Spears,WR,TEN,1.4,1.92,1.66,0.53,3.78,0.02,,,
2024,7,3052096,Johnny Mundt,Johnny,Mundt,WR,MIN,,,,,,,,,
2024,7,4360569,Jordan Mason,Jordan,Mason,WR,SF,11.41,12.87,12.14,1.46,10.51,0.06,,,
2024,7,3116385,Joe Mixon,Joe,Mixon,WR,HOU,12.22,15.34,13.78,3.12,23.49,0.13,,,
2024,7,4429501,Ray Davis,Ray,Davis,WR,BUF,3.87,4.69,4.28,0.81,6.58,0.03,,,
2024,7,4040761,Devin Singletary,Devin,Singletary,WR,NYG,8.57,10.62,9.6,2.05,13.98,0.05,,,
2024,7,4685247,Braelon Allen,Braelon,Allen,WR,NYJ,4.72,5.83,5.27,1.12,8.33,0.05,,,
2024,7,4045163,Miles Sanders,Miles,Sanders,WR,CAR,3.67,4.88,4.27,1.22,8.49,0.02,,,
2024,7,4430737,Kyren Williams,Kyren,Williams,WR,LAR,16.69,18.88,17.79,2.19,14.81,0.08,,,
2024,7,4430871,Sean Tucker,Sean,Tucker,WR,TB,4.5,5.69,5.09,1.2,9.95,0.06,,,
2024,7,4596448,Bucky Irving,Bucky,Irving,WR,TB,7.58,9.69,8.63,2.11,15.81,0.08,,,
2024,7,4241474,Brian Robinson Jr.,Brian,Robinson Jr.,WR,WSH,12.36,14.33,13.34,1.97,15.43,0.08,,,
2024,7,2975863,Eric Saubert,Eric,Saubert,WR,SF,,,,,,,,,
2024,7,3047876,KhaDarel Hodge,KhaDarel,Hodge,WR,ATL,1.01,1.68,1.34,0.66,7.82,0.04,"$4,500","$4,600",-100
2024,7,4061956,Ashton Dulin,Ashton,Dulin,WR,IND,1.1,1.61,1.36,0.51,6.32,0.05,"$4,200","$4,300",-100
2024,7,4360405,Jake Bobo,Jake,Bobo,WR,SEA,1.61,2.7,2.16,1.09,11.57,0.08,"$4,200","$4,300",-100
2024,7,4576297,AJ Barner,AJ,Barner,WR,SEA,,,,,,,,,
2024,7,4249836,Pierre Strong Jr.,Pierre,Strong Jr.,WR,CLE,3.11,4.91,4.01,1.8,12.52,0.06,,,
2024,7,4362478,Emari Demercado,Emari,Demercado,WR,ARI,2.31,3.28,2.79,0.97,6.61,0.04,,,
2024,7,4360086,Josh Whyle,Josh,Whyle,WR,TEN,,,,,,,,,
2024,7,3930066,Van Jefferson,Van,Jefferson,WR,PIT,2.09,3.27,2.68,1.17,15.6,0.09,"$4,800","$4,800",0
