Player,wk7,wk6,wk5,wk4,wk3,wk2,wk1
Sean Tucker(TB),4.0,4.0,4.0,4.0,4.0,4.0,4.0
Dare Ogunbowale(HOU),3.5,3.5,3.5,3.5,3.5,3.5,3.5
Tyler Goodson(IND),3.4,3.4,3.4,3.4,3.4,3.4,3.4
Nick Bellore(WAS),3.0,3.0,3.0,3.0,3.0,3.0,3.0
D'Ernest Johnson(JAC),2.6,2.6,2.6,2.6,2.6,2.6,2.6
Audric Estime(DEN),2.4,2.4,2.4,2.4,2.4,2.4,2.4
Eric Gray(NYG),2.3,2.3,2.3,2.3,2.3,2.3,2.3
Dalvin Cook(DAL),2.1,2.1,2.1,2.1,2.1,2.1,2.1
Elijah Mitchell(SF),2.1,2.1,2.1,2.1,2.1,2.1,2.1
Will Shipley(PHI),2.0,2.0,2.0,2.0,2.0,2.0,2.0
Kenneth Gainwell(PHI),1.9,1.9,1.9,1.9,1.9,1.9,1.9
Cordarrelle Patterson(PIT),1.6,1.6,1.6,1.6,1.6,1.6,1.6
Ameer Abdullah(LV),1.5,1.5,1.5,1.5,1.5,1.5,1.5
AJ Dillon(GB),1.4,1.4,1.4,1.4,1.4,1.4,1.4
Dylan Laube(LV),1.4,1.4,1.4,1.4,1.4,1.4,1.4
Frank Gore Jr.(BUF),1.3,1.3,1.3,1.3,1.3,1.3,1.3
Deuce Vaughn(DAL),1.2,1.2,1.2,1.2,1.2,1.2,1.2
Kyle Juszczyk(SF),1.1,1.1,1.1,1.1,1.1,1.1,1.1
Jeff Wilson Jr.(MIA),0.9,0.9,0.9,0.9,0.9,0.9,0.9
JaMycal Hasty(NE),0.8,0.8,0.8,0.8,0.8,0.8,0.8
Rasheen Ali(BAL),0.8,0.8,0.8,0.8,0.8,0.8,0.8
Tyler Badie(DEN),0.8,0.8,0.8,0.8,0.8,0.8,0.8
Emari Demercado(ARI),0.7,0.7,0.7,0.7,0.7,0.7,0.7
Evan Hull(IND),0.6,0.6,0.6,0.6,0.6,0.6,0.6
Pierre Strong Jr.(CLE),0.4,0.4,0.4,0.4,0.4,0.4,0.4
Kenny McIntosh(SEA),0.3,0.3,0.3,0.3,0.3,0.3,0.3
Isaiah Davis(NYJ),0.3,0.3,0.3,0.3,0.3,0.3,0.3
Aaron Shampklin(PIT),0.3,0.3,0.3,0.3,0.3,0.3,0.3
Trayveon Williams(CIN),0.2,0.2,0.2,0.2,0.2,0.2,0.2
Hunter Luepke(DAL),0.2,0.2,0.2,0.2,0.2,0.2,0.2
Julius Chestnut(TEN),0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ronnie Rivers(LAR),0.2,0.2,0.2,0.2,0.2,0.2,0.2
Craig Reynolds(DET),0.2,0.2,0.2,0.2,0.2,0.2,0.2
Raheem Blackshear(CAR),0.2,0.2,0.2,0.2,0.2,0.2,0.2
Patrick Ricard(BAL),0.1,0.1,0.1,0.1,0.1,0.1,0.1
DeeJay Dallas(ARI),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Michael Carter(ARI),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Louis Rees-Zammit(JAC),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jase McClellan(ATL),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Patrick Taylor Jr.(SF),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Scott Matlock(LAC),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sione Vaki(DET),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chase Edmonds(TB),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Travis Homer(CHI),0.1,0.1,0.1,0.1,0.1,0.1,0.1
C.J. Ham(MIN),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Avery Williams(ATL),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Velus Jones Jr.(CHI),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alec Ingold(MIA),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chris Rodriguez Jr.(WAS),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Nyheim Hines(CLE),0.1,0.1,0.1,0.1,0.1,0.1,0.1
J.J. Taylor(HOU),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Hassan Haskins(LAC),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Israel Abanikanda(NYJ),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ellis Merriweather(GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Flanders(NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Washington Jr.(ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Pennix(IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad Simpson(WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Ward(PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrell Jennings(NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Evans(CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taquan Mizzell(NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Brooks(GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Wheeler(CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sincere McCormick(LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane Bannon(KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Collier(BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jermar Jefferson(DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy Hairston II(HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brittain Brown(SEA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
