firstName,lastName,team,week,red_zone_pass_comp,red_zone_pass_att,red_zone_pass_pct,red_zone_pass_yds,red_zone_pass_y/a,red_zone_pass_td
Skylar,Thompson,MIA,3,2,3,66.7%,7,2.3,0
Jalen,Hurts,PHI,3,1,2,50.0%,2,1.0,0
Drake,Maye,NE,3,0,0,0%,0,0,0
Justin,Herbert,LAC,3,0,1,0.0%,0,0.0,0
,,,4,,,,,,
Justin,Fields,PIT,4,4,8,50.0%,38,4.8,1
Jordan,Love,GB,4,7,9,77.8%,63,7.0,4
Lamar,Jackson,BAL,4,3,3,100.0%,38,12.7,2
Baker,Mayfield,TB,4,5,7,71.4%,30,4.3,2
Jayden,Daniels,WAS,4,2,2,100.0%,13,6.5,1
Jared,Goff,DET,4,4,4,100.0%,36,9.0,1
Sam,Darnold,MIN,4,4,6,66.7%,36,6.0,2
Joe,Flacco,IND,4,2,6,33.3%,19,3.2,2
Jalen,Hurts,PHI,4,2,2,100.0%,10,5.0,1
,,,4,3,5,60.0%,10,2.0,2
Trevor,Lawrence,JAC,4,2,3,66.7%,10,3.3,2
Tyler,Huntley,MIA,4,1,1,100.0%,0,0.0,0
Geno,Smith,SEA,4,2,7,28.6%,19,2.7,1
Joe,Burrow,CIN,4,4,7,57.1%,32,4.6,1
Brock,Purdy,SF,4,3,6,50.0%,27,4.5,1
Deshaun,Watson,CLE,4,2,2,100.0%,8,4.0,1
Caleb,Williams,CHI,4,1,4,25.0%,9,2.3,1
Justin,Herbert,LAC,4,3,4,75.0%,16,4.0,1
Dak,Prescott,DAL,4,1,1,100.0%,15,15.0,1
Andy,Dalton,CAR,4,3,4,75.0%,16,4.0,1
Kyler,Murray,ARI,4,2,2,100.0%,12,6.0,1
Bo,Nix,DEN,4,1,2,50.0%,8,4.0,1
Jacoby,Brissett,NE,4,3,3,100.0%,11,3.7,1
Derek,Carr,NO,4,3,6,50.0%,27,4.5,0
Anthony,Richardson,IND,4,0,1,0.0%,0,0.0,0
Mahomes,II,KC,4,1,1,100.0%,9,9.0,0
Matthew,Stafford,LAR,4,2,5,40.0%,9,1.8,0
Daniel,Jones,NYG,4,2,3,66.7%,4,1.3,0
Minshew,II,LV,4,1,2,50.0%,4,2.0,0
Josh,Allen,BUF,4,1,2,50.0%,6,3.0,0
Aaron,Rodgers,NYJ,4,0,1,0.0%,0,0.0,0
Mason,Rudolph,TEN,4,0,1,0.0%,0,0.0,0
,,,5,,,,,,
Lamar,Jackson,BAL,5,6,6,100.0%,42,7.0,4
Bo,Nix,DEN,5,2,2,100.0%,13,6.5,2
Joe,Burrow,CIN,5,4,4,100.0%,21,5.3,3
Joe,Flacco,IND,5,6,10,60.0%,31,3.1,2
Baker,Mayfield,TB,5,6,6,100.0%,36,6.0,2
Kirk,Cousins,ATL,5,2,2,100.0%,30,15.0,2
Aaron,Rodgers,NYJ,5,5,9,55.6%,27,3.0,2
Justin,Fields,PIT,5,3,3,100.0%,21,7.0,2
Daniel,Jones,NYG,5,2,6,33.3%,20,3.3,1
Brock,Purdy,SF,5,7,13,53.8%,48,3.7,1
Deshaun,Watson,CLE,5,2,4,50.0%,13,3.3,1
Trevor,Lawrence,JAC,5,4,4,100.0%,22,5.5,1
Geno,Smith,SEA,5,3,5,60.0%,20,4.0,1
Kyler,Murray,ARI,5,2,4,50.0%,5,1.3,1
Matthew,Stafford,LAR,5,2,4,50.0%,9,2.3,1
Jordan,Love,GB,5,1,1,100.0%,7,7.0,1
Derek,Carr,NO,5,1,1,100.0%,6,6.0,1
Dak,Prescott,DAL,5,2,5,40.0%,8,1.6,1
Mahomes,II,KC,5,7,11,63.6%,52,4.7,0
Caleb,Williams,CHI,5,1,5,20.0%,8,1.6,0
Bryce,Young,CAR,5,1,2,50.0%,0,0.0,0
Jayden,Daniels,WAS,5,1,5,20.0%,3,0.6,0
,,,5,2,3,66.7%,12,4.0,0
Minshew,II,LV,5,1,2,50.0%,8,4.0,0
Jacoby,Brissett,NE,5,2,8,25.0%,4,0.5,0
Tyler,Huntley,MIA,5,0,3,0.0%,0,0.0,0
Josh,Allen,BUF,5,0,3,0.0%,0,0.0,0
Andy,Dalton,CAR,5,0,2,0.0%,0,0.0,0
,,,6,,,,,,
Josh,Allen,BUF,6,2,4,50.0%,20,5.0,2
Justin,Fields,PIT,6,0,1,0.0%,0,0.0,0
Jordan,Love,GB,6,4,6,66.7%,37,6.2,3
,,,6,4,5,80.0%,35,7.0,3
Caleb,Williams,CHI,6,5,6,83.3%,27,4.5,3
Andy,Dalton,CAR,6,6,9,66.7%,44,4.9,2
Jayden,Daniels,WAS,6,6,9,66.7%,44,4.9,2
Baker,Mayfield,TB,6,2,4,50.0%,12,3.0,2
Trevor,Lawrence,JAC,6,3,10,30.0%,36,3.6,2
Bo,Nix,DEN,6,2,2,100.0%,17,8.5,2
Brock,Purdy,SF,6,3,6,50.0%,16,2.7,2
Joe,Flacco,IND,6,5,8,62.5%,38,4.8,1
Jared,Goff,DET,6,4,5,80.0%,23,4.6,1
Geno,Smith,SEA,6,4,10,40.0%,27,2.7,1
,,,6,3,5,60.0%,26,5.2,1
Aaron,Rodgers,NYJ,6,4,9,44.4%,17,1.9,1
Drake,Maye,NE,6,2,2,100.0%,13,6.5,1
Lamar,Jackson,BAL,6,2,5,40.0%,15,3.0,1
Will,Levis,TEN,6,1,1,100.0%,9,9.0,1
Spencer,Rattler,NO,6,2,2,100.0%,11,5.5,1
Kirk,Cousins,ATL,6,4,8,50.0%,17,2.1,1
Kyler,Murray,ARI,6,2,3,66.7%,22,7.3,1
Justin,Herbert,LAC,6,5,9,55.6%,29,3.2,0
Joe,Burrow,CIN,6,3,4,75.0%,19,4.8,0
