season,week,player_id,FirstName_Initial,FirstName,LastName,recent_team,games_played,current_week_salary,last_week_salary,salary_diff,targets,targets_per_game,target_share,receptions,receptions_per_game,receiving_yards,receiving_yards_per_game,yds_per_reception,total_targets_last_3_games,avg_7tgs_last3_games,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct,avg_7tgs_per_game_bool,season_avg_10yds_per_reception_bool,avg_7tgs_last3_games_bool
2024,11,00-0035719,d,nan,samuel,SF,7,,,,45,6.4,0.217,29,4.1,468,66.9,16.14,18,6.0,,,,,,,,False,True,True
2024,11,00-0033040,t,tyreek,hill,MIA,9,"$8,500","$8,400",+100,59,6.6,0.215,37,4.1,462,51.3,12.49,18,6.0,2,7,28.6%,11,5.5,1,43.8%,False,True,True
2024,11,00-0032211,t,tyler,lockett,SEA,9,"$6,100",-,-,53,5.9,0.167,34,3.8,456,50.7,13.41,13,4.3,2,7,28.6%,15,7.5,1,29.2%,False,True,True
2024,11,00-0034960,j,jakobi,meyers,LV,7,"$6,200",-,-,54,7.7,0.248,39,5.6,430,61.4,11.03,27,9.0,5,7,71.4%,44,8.8,2,25.9%,True,True,True
2024,11,00-0036407,j,jerry,jeudy,CLE,9,"$5,800",-,-,61,6.8,0.183,33,3.7,418,46.4,12.67,25,8.3,2,8,25.0%,18,9.0,1,36.4%,False,True,True
2024,11,00-0039901,k,keon,coleman,BUF,9,"$6,000","$6,100",-100,36,4.0,0.144,22,2.4,417,46.3,18.95,16,5.3,3,9,33.3%,15,5.0,1,39.1%,False,True,True
2024,11,00-0039919,r,rome,odunze,CHI,9,"$5,600","$5,900",-300,50,5.6,0.184,28,3.1,414,46.0,14.79,19,6.3,2,6,33.3%,9,4.5,1,24.0%,False,True,True
2024,11,00-0037240,j,jameson,williams,DET,7,"$6,300","$6,300",0,35,5.0,0.167,20,2.9,414,59.1,20.7,10,3.3,2,5,40.0%,10,5.0,0,25.0%,False,True,True
2024,11,00-0037816,r,romeo,doubs,GB,8,"$5,800",-,-,45,5.6,0.187,30,3.8,412,51.5,13.73,21,7.0,5,7,71.4%,54,10.8,2,30.4%,False,True,True
2024,11,00-0034521,a,allen,lazard,NYJ,7,"$4,000","$4,000",0,45,6.4,0.177,30,4.3,412,58.9,13.73,21,7.0,5,10,50.0%,38,7.6,3,31.3%,False,True,True
2024,11,00-0037239,c,chris,olave,NO,8,"$4,000","$7,000","-3,000",44,5.5,0.197,32,4.0,400,50.0,12.5,16,5.3,4,6,66.7%,55,13.8,1,46.2%,False,True,True
2024,11,00-0034827,d,dj,moore,CHI,9,"$6,100","$6,500",-400,66,7.3,0.244,40,4.4,398,44.2,9.95,19,6.3,5,10,50.0%,24,4.8,1,40.0%,True,False,True
2024,11,00-0038977,t,tank,dell,HOU,9,"$7,200","$7,200",0,56,6.2,0.2,35,3.9,394,43.8,11.26,22,7.3,5,9,55.6%,45,9.0,2,33.3%,False,True,True
2024,11,00-0038117,w,nan,robinson,NYG,10,,,,84,8.4,0.254,56,5.6,394,39.4,7.04,17,5.7,,,,,,,,True,False,True
2024,11,00-0033908,c,nan,kupp,LA,5,,,,56,11.2,0.277,41,8.2,382,76.4,9.32,29,9.7,,,,,,,,True,False,True
2024,11,00-0034775,c,nan,kirk,JAX,8,,,,47,5.9,0.191,27,3.4,379,47.4,14.04,14,4.7,,,,,,,,False,True,True
2024,11,00-0036261,b,brandon,aiyuk,SF,7,"$4,000","$4,000",0,47,6.7,0.222,25,3.6,374,53.4,14.96,22,7.3,3,6,50.0%,34,11.3,0,20.0%,False,True,True
2024,11,00-0036849,t,nan,atwell,LA,8,,,,40,5.0,0.17,26,3.2,372,46.5,14.31,6,2.0,,,,,,,,False,True,False
2024,11,00-0036613,j,jaylen,waddle,MIA,9,"$6,200","$6,000",+200,44,4.9,0.165,31,3.4,367,40.8,11.84,14,4.7,3,5,60.0%,24,8.0,1,31.3%,False,True,True
2024,11,00-0037666,j,jalen,tolbert,DAL,9,"$5,800","$6,400",-600,48,5.3,0.138,33,3.7,367,40.8,11.12,14,4.7,4,7,57.1%,27,6.8,3,25.9%,False,True,True
2024,11,00-0036252,m,nan,pittman,IND,9,,,,57,6.3,0.237,30,3.3,366,40.7,12.2,15,5.0,,,,,,,,False,True,True
2024,11,00-0035216,d,nan,johnson,CAR,7,,,,58,8.3,0.253,30,4.3,357,51.0,11.9,15,5.0,,,,,,,,True,True,True
2024,11,00-0038621,d,demario,douglas,NE,9,"$5,300","$5,100",+200,53,5.9,0.203,39,4.3,356,39.6,9.13,17,5.7,1,2,50.0%,4,4.0,0,15.4%,False,False,True
2024,11,00-0033591,n,noah,brown,WAS,8,"$5,600","$5,300",+300,38,4.8,0.17,25,3.1,351,43.9,14.04,19,6.3,2,3,66.7%,10,5.0,0,14.3%,False,True,True
2024,11,00-0032775,d,nan,robinson,LA,9,,,,43,4.8,0.137,22,2.4,350,38.9,15.91,17,5.7,,,,,,,,False,True,True
2024,11,00-0037545,r,rashid,shaheed,NO,6,"$4,000","$4,000",0,41,6.8,0.244,20,3.3,349,58.2,17.45,27,9.0,2,4,50.0%,5,2.5,0,30.8%,False,True,True
2024,11,00-0036988,j,joshua,palmer,LAC,8,"$5,600","$5,800",-200,28,3.5,0.13,18,2.2,342,42.8,19.0,10,3.3,2,4,50.0%,8,4.0,0,25.0%,False,True,True
2024,11,00-0036410,t,tee,higgins,CIN,5,"$7,100","$7,400",-300,45,9.0,0.298,29,5.8,341,68.2,11.76,29,9.7,4,6,66.7%,37,9.3,2,17.1%,True,True,True
2024,11,00-0031408,m,nan,evans,TB,7,,,,45,6.4,0.205,26,3.7,335,47.9,12.88,16,5.3,,,,,,,,False,True,True
2024,11,00-0034407,r,nan,mccloud,ATL,10,,,,49,4.9,0.155,35,3.5,335,33.5,9.57,10,3.3,,,,,,,,False,False,True
2024,11,00-0038559,m,nan,wilson,ARI,10,,,,44,4.4,0.159,30,3.0,307,30.7,10.23,11,3.7,,,,,,,,False,True,True
2024,11,00-0038544,q,quentin,johnston,LAC,7,"$6,000","$5,900",+100,29,4.1,0.177,20,2.9,306,43.7,15.3,11,3.7,3,3,100.0%,29,9.7,2,18.8%,False,True,True
2024,11,00-0038994,j,jordan,addison,MIN,7,"$5,800","$6,600",-800,33,4.7,0.168,21,3.0,298,42.6,14.19,13,4.3,3,3,100.0%,20,6.7,1,13.6%,False,True,True
2024,11,00-0039067,r,rashee,rice,KC,3,"$4,000","$4,000",0,29,9.7,0.328,24,8.0,288,96.0,12.0,29,9.7,2,2,100.0%,10,5.0,1,8.3%,True,True,True
2024,11,00-0039342,x,nan,legette,CAR,9,,,,45,5.0,0.166,29,3.2,284,31.6,9.79,17,5.7,,,,,,,,False,False,True
2024,11,00-0037837,c,nan,austin,PIT,9,,,,31,3.4,0.135,16,1.8,277,30.8,17.31,14,4.7,,,,,,,,False,True,True
2024,11,00-0038979,c,cedric,tillman,CLE,7,"$6,500",-,-,37,5.3,0.142,24,3.4,264,37.7,11.0,32,10.7,2,4,50.0%,17,8.5,1,18.2%,False,True,True
2024,11,00-0039491,j,nan,coker,CAR,7,,,,26,3.7,0.129,17,2.4,263,37.6,15.47,17,5.7,,,,,,,,False,True,True
2024,11,00-0038563,t,tre,tucker,LV,9,"$5,100",-,-,44,4.9,0.15,25,2.8,257,28.6,10.28,17,5.7,3,3,100.0%,26,8.7,1,11.1%,False,True,True
2024,11,00-0038608,k,kayshon,boutte,NE,8,"$4,900","$5,000",-100,28,3.5,0.119,17,2.1,250,31.2,14.71,18,6.0,2,3,66.7%,12,6.0,0,23.1%,False,True,True
2024,11,00-0031544,a,nan,cooper,CLE,6,,,,53,8.8,0.277,24,4.0,250,41.7,10.42,13,4.3,,,,,,,,True,True,True
2024,11,00-0039075,p,nan,nacua,LA,4,,,,31,7.8,0.19,21,5.2,250,62.5,11.9,27,9.0,,,,,,,,True,True,True
2024,11,00-0036980,e,elijah,moore,CLE,9,"$5,500",-,-,50,5.6,0.144,33,3.7,249,27.7,7.55,27,9.0,4,5,80.0%,22,5.5,0,22.7%,False,False,True
2024,11,00-0037291,j,jalen,nailor,MIN,8,"$5,000","$5,200",-200,24,3.0,0.115,16,2.0,247,30.9,15.44,8,2.7,3,6,50.0%,21,7.0,3,27.3%,False,True,True
