season,player_name,count_of_weeks
2024,C.Lamb,6
2024,A.Cooper,5
2024,C.Godwin,5
2024,D.London,5
2024,G.Pickens,5
2024,G.Wilson,5
2024,W.Robinson,5
2024,A.Lazard,4
2024,D.Metcalf,4
2024,D.Moore,4
2024,J.Jefferson,4
2024,J.Smith-Njigba,4
2024,M.Nabers,4
2024,M.Pittman,4
2024,N.Collins,4
2024,S.Diggs,4
2024,T.Lockett,4
2024,T.McLaurin,4
2024,Z.Flowers,4
2024,B.Thomas,3
2024,C.Sutton,3
2024,D.Douglas,3
2024,D.Johnson,3
2024,D.Mooney,3
2024,D.Smith,3
2024,J.Downs,3
2024,J.Jeudy,3
2024,J.Meyers,3
2024,L.McConkey,3
2024,M.Harrison,3
2024,R.McCloud,3
2024,R.Shaheed,3
2024,T.Higgins,3
2024,T.Hill,3
2024,A.Brown,2
2024,A.St. Brown,2
2024,B.Aiyuk,2
2024,C.Kirk,2
2024,C.Ridley,2
2024,D.Adams,2
2024,D.Samuel,2
2024,D.Slayton,2
2024,D.Wicks,2
2024,G.Davis,2
2024,J.Chase,2
2024,J.Tolbert,2
2024,J.Whittington,2
2024,J.Williams,2
2024,M.Evans,2
2024,M.Wilson,2
2024,R.Doubs,2
2024,R.Rice,2
2024,T.Dell,2
2024,X.Legette,2
2024,A.Iosivas,1
2024,A.Mitchell,1
2024,A.Pierce,1
2024,B.Cooks,1
2024,B.Means,1
2024,C.Kupp,1
2024,C.Olave,1
2024,D.Hopkins,1
2024,D.Robinson,1
2024,D.Vele,1
2024,E.Moore,1
2024,G.Dortch,1
2024,J.Addison,1
2024,J.Jennings,1
2024,J.Polk,1
2024,J.Reed,1
2024,J.Reynolds,1
2024,J.Smith-Schuster,1
2024,J.Waddle,1
2024,K.Allen,1
2024,K.Turpin,1
2024,L.Humphrey,1
2024,N.Brown,1
2024,R.Bateman,1
2024,R.Odunze,1
2024,T.Atwell,1
2024,T.Johnson,1
2024,T.Tucker,1
2023,A.St. Brown,18
2023,P.Nacua,17
2023,S.Diggs,17
2023,C.Lamb,15
2023,T.Hill,15
2023,D.Adams,14
2023,G.Wilson,14
2023,A.Brown,13
2023,C.Ridley,13
2023,M.Evans,13
2023,C.Godwin,12
2023,K.Allen,12
2023,M.Pittman,12
2023,A.Cooper,11
2023,A.Thielen,11
2023,C.Olave,11
2023,D.Moore,11
2023,J.Chase,11
2023,T.McLaurin,11
2023,C.Kupp,10
2023,D.Hopkins,10
2023,D.London,10
2023,N.Collins,10
2023,T.Lockett,10
2023,B.Aiyuk,9
2023,D.Samuel,9
2023,D.Smith,9
2023,E.Moore,9
2023,M.Brown,9
2023,R.Rice,9
2023,Z.Flowers,9
2023,D.Metcalf,8
2023,G.Pickens,8
2023,J.Addison,8
2023,J.Jefferson,8
2023,J.Waddle,8
2023,T.Boyd,8
2023,J.Meyers,7
2023,M.Thomas,7
2023,D.Douglas,6
2023,D.Johnson,6
2023,J.Downs,6
2023,J.Palmer,6
2023,J.Reed,6
2023,T.Dell,6
2023,T.Higgins,6
2023,B.Cooks,5
2023,C.Kirk,5
2023,C.Samuel,5
2023,C.Watson,5
2023,J.Dotson,5
2023,J.Mingo,5
2023,J.Smith-Njigba,5
2023,T.Atwell,5
2023,Z.Jones,5
2023,C.Sutton,4
2023,G.Davis,4
2023,J.Jeudy,4
2023,K.Bourne,4
2023,K.Osborn,4
2023,O.Beckham,4
2023,R.Doubs,4
2023,R.Shaheed,4
2023,R.Woods,4
2023,W.Robinson,4
2023,D.Mooney,3
2023,D.Slayton,3
2023,G.Dortch,3
2023,J.Reynolds,3
2023,N.Brown,3
2023,A.Erickson,2
2023,A.Iosivas,2
2023,A.Pierce,2
2023,A.Robinson,2
2023,B.Melton,2
2023,D.Chark,2
2023,D.Parker,2
2023,D.Robinson,2
2023,D.Wicks,2
2023,J.Smith-Schuster,2
2023,M.Gallup,2
2023,M.Williams,2
2023,R.Moore,2
2023,T.Marshall,2
2023,C.Claypool,1
2023,C.Tillman,1
2023,C.Wilson,1
2023,D.Bell,1
2023,J.Crowder,1
2023,J.Jennings,1
2023,J.Watson,1
2023,J.Williams,1
2023,K.Doss,1
2023,K.Shakir,1
2023,M.Hardman,1
2023,M.Wilson,1
2023,N.Westbrook-Ikhine,1
2023,Q.Johnston,1
2023,Q.Watkins,1
2023,T.Irwin,1
2023,T.Palmer,1
2023,T.Tucker,1
2023,X.Gipson,1
