year,week,player_id,player,firstName,lastName,position,team,points,points_ppr,points_half,rushing_attempts,rushing_yards,rushing_tds,receptions,reception_yards,reception_tds,This Week,Last Week,Difference
2024,7,4567048,Kenneth Walker III,Kenneth,Walker III,RB,SEA,12.92,16.33,14.62,15.09,64.63,0.6,3.42,23.73,0.11,,,
2024,7,4362887,Justin Fields,Justin,Fields,RB,PIT,18.13,18.13,18.13,,,,,,,,,
2024,7,4239996,Travis Etienne Jr.,Travis,Etienne Jr.,RB,JAX,2.17,2.8,2.49,2.36,10.13,0.09,0.63,4.72,0.03,,,
2024,7,4360294,Antonio Gibson,Antonio,Gibson,RB,NE,7.27,9.15,8.21,11.73,42.27,0.23,1.88,14.81,0.05,"$5,500","$5,500",0
2024,7,4035676,Zack Moss,Zack,Moss,RB,CIN,7.7,9.76,8.73,9.33,40.52,0.29,2.06,14.23,0.09,"$6,700","$6,500",+200
2024,7,4040761,Devin Singletary,Devin,Singletary,RB,NYG,8.57,10.62,9.6,11.95,49.94,0.33,2.05,13.98,0.05,"$6,200","$6,100",+100
2024,7,4361579,Javonte Williams,Javonte,Williams,RB,DEN,9.02,12.07,10.54,12.29,49.51,0.26,3.05,20.7,0.1,"$5,800","$5,900",-100
2024,7,4887558,Emanuel Wilson,Emanuel,Wilson,RB,GB,4.24,5.19,4.72,7.1,25.26,0.12,0.96,7.54,0.04,"$5,400","$5,200",+200
2024,7,4360516,Tyrone Tracy Jr.,Tyrone,Tracy Jr.,RB,NYG,7.08,9.05,8.06,10.37,38.71,0.24,1.97,14.67,0.06,,,
2024,7,4040715,Jalen Hurts,Jalen,Hurts,RB,PHI,20.26,20.26,20.26,,,,,,,,,
2024,7,4426385,Zach Charbonnet,Zach,Charbonnet,RB,SEA,4.89,7.19,6.04,5.13,20.91,0.15,2.31,14.85,0.08,"$5,300","$5,600",-300
2024,7,4697815,Rachaad White,Rachaad,White,RB,TB,6.03,8.49,7.26,6.76,25.22,0.2,2.46,18.36,0.1,"$6,300","$6,300",0
2024,7,4429160,De'Von Achane,De'Von,Achane,RB,MIA,10.4,13.61,12.01,11.98,52.96,0.35,3.21,23.53,0.12,,,
2024,7,4426338,Bo Nix,Bo,Nix,RB,DEN,16.01,16.01,16.01,,,,,,,,,
2024,7,3918298,Josh Allen,Josh,Allen,RB,BUF,20.64,20.64,20.64,,,,,,,,,
2024,7,4429501,Ray Davis,Ray,Davis,RB,BUF,3.87,4.69,4.28,6.15,22.2,0.14,0.81,6.58,0.03,,,
2024,7,3059915,Kareem Hunt,Kareem,Hunt,RB,KC,11.44,13.41,12.42,16.29,63.94,0.54,1.97,14.96,0.06,"$7,700",-,-
2024,7,3068267,Austin Ekeler,Austin,Ekeler,RB,WSH,8.63,11.58,10.11,8.16,33.41,0.34,2.95,24.44,0.16,"$6,600","$5,700",+900
2024,7,4431611,Caleb Williams,Caleb,Williams,RB,CHI,0.0,0.0,0.0,,,,,,,,,
2024,7,3917792,Daniel Jones,Daniel,Jones,RB,NYG,16.22,16.22,16.22,,,,,,,,,
2024,7,4048244,Alexander Mattison,Alexander,Mattison,RB,LV,7.53,9.89,8.71,10.88,39.44,0.24,2.36,17.32,0.08,"$6,100","$5,600",+500
2024,7,4361777,Zamir White,Zamir,White,RB,LV,5.36,6.37,5.86,8.95,33.54,0.2,1.01,7.35,0.03,"$5,600","$5,500",+100
2024,7,4685247,Braelon Allen,Braelon,Allen,RB,NYJ,4.72,5.83,5.27,5.77,26.53,0.16,1.12,8.33,0.05,"$6,000","$6,200",-200
2024,7,3122840,Deshaun Watson,Deshaun,Watson,RB,CLE,13.26,13.26,13.26,,,,,,,,,
2024,7,4240021,Cam Akers,Cam,Akers,RB,MIN,0.51,0.64,0.57,0.25,2.45,0.02,0.13,1.03,0.0,"$5,000","$5,800",-800
2024,7,4242431,Ty Chandler,Ty,Chandler,RB,MIN,5.72,7.38,6.55,7.44,31.38,0.21,1.66,10.97,0.05,"$6,400",-,-
2024,7,15864,Geno Smith,Geno,Smith,RB,SEA,17.56,17.56,17.56,,,,,,,,,
2024,7,4430871,Sean Tucker,Sean,Tucker,RB,TB,4.5,5.69,5.09,6.21,22.51,0.16,1.2,9.95,0.06,"$5,200","$4,200","+1,000"
2024,7,4429084,Anthony Richardson,Anthony,Richardson,RB,IND,17.43,17.43,17.43,,,,,,,,,
2024,7,4372561,Isaac Guerendo,Isaac,Guerendo,RB,SF,3.63,3.92,3.77,6.84,25.72,0.14,0.28,2.06,0.01,"$6,000","$4,800","+1,200"
2024,7,4682745,Jaylen Wright,Jaylen,Wright,RB,MIA,2.14,2.53,2.33,3.69,13.16,0.07,0.39,2.72,0.02,"$5,200",-,-
2024,7,3052587,Baker Mayfield,Baker,Mayfield,RB,TB,18.6,18.6,18.6,,,,,,,,,
2024,7,4361529,Isiah Pacheco,Isiah,Pacheco,RB,KC,,,,,,,,,,"$4,000",-,-
2024,7,4361741,Brock Purdy,Brock,Purdy,RB,SF,17.47,17.47,17.47,,,,,,,,,
2024,7,3125116,D'Onta Foreman,D'Onta,Foreman,RB,CLE,3.85,4.71,4.28,5.72,24.21,0.13,0.86,5.93,0.01,,,
2024,7,3127586,Jeremy McNichols,Jeremy,McNichols,RB,WSH,0.59,0.72,0.66,0.61,3.58,0.02,0.13,0.94,0.01,"$5,500","$5,000",+500
2024,7,4714365,Carson Steele,Carson,Steele,RB,KC,0.66,0.85,0.76,0.4,3.34,0.03,0.19,1.3,0.0,"$4,900",-,-
2024,7,4722893,Jaleel McLaughlin,Jaleel,McLaughlin,RB,DEN,5.08,6.58,5.83,6.54,28.39,0.16,1.5,10.35,0.05,"$5,000","$5,200",-200
2024,7,3051392,Ezekiel Elliott,Ezekiel,Elliott,RB,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,7,4242512,Malik Willis,Malik,Willis,RB,GB,0.0,0.0,0.0,,,,,,,,,
2024,7,4428557,Tyjae Spears,Tyjae,Spears,RB,TEN,1.4,1.92,1.66,1.59,6.92,0.04,0.53,3.78,0.02,"$5,600","$5,700",-100
2024,7,3051926,Gus Edwards,Gus,Edwards,RB,LAC,,,,,,,,,,"$5,000","$5,100",-100
2024,7,4362249,Jayden Reed,Jayden,Reed,RB,GB,10.0,14.99,12.49,,,,4.99,63.79,0.43,,,
2024,7,4429275,Trey Benson,Trey,Benson,RB,ARI,2.55,2.92,2.74,4.48,17.05,0.09,0.37,2.58,0.02,"$4,400","$4,500",-100
2024,7,4361418,Will Levis,Will,Levis,RB,TEN,12.76,12.76,12.76,,,,,,,,,
2024,7,2980453,Jamaal Williams,Jamaal,Williams,RB,NO,1.96,2.52,2.24,2.76,11.22,0.08,0.56,3.31,0.01,"$5,100","$5,300",-200
2024,7,4362478,Emari Demercado,Emari,Demercado,RB,ARI,2.31,3.28,2.79,2.69,11.39,0.06,0.97,6.61,0.04,"$4,800","$4,600",+200
2024,7,4045163,Miles Sanders,Miles,Sanders,RB,CAR,3.67,4.88,4.27,5.26,21.17,0.11,1.22,8.49,0.02,"$5,300","$5,200",+100
2024,7,4038441,Justice Hill,Justice,Hill,RB,BAL,4.21,6.61,5.41,3.16,13.11,0.06,2.4,19.05,0.11,"$5,300","$5,500",-200
2024,7,3915511,Joe Burrow,Joe,Burrow,RB,CIN,18.05,18.05,18.05,,,,,,,,,
2024,7,15807,Cordarrelle Patterson,Cordarrelle,Patterson,RB,PIT,2.24,2.86,2.55,2.48,11.72,0.08,0.63,4.74,0.02,"$4,800","$4,800",0
2024,7,4360238,Dameon Pierce,Dameon,Pierce,RB,HOU,3.55,4.25,3.9,4.94,21.68,0.14,0.7,5.06,0.02,"$5,100","$4,900",+200
2024,7,4241401,Trey Sermon,Trey,Sermon,RB,IND,4.61,5.43,5.02,8.12,28.09,0.2,0.81,5.55,0.01,"$5,900","$6,000",-100
2024,7,2576414,Raheem Mostert,Raheem,Mostert,RB,MIA,6.53,7.79,7.16,8.1,38.8,0.26,1.26,9.11,0.04,"$6,300",-,-
2024,7,4426386,Roschon Johnson,Roschon,Johnson,RB,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,7,4362748,Tyler Badie,Tyler,Badie,RB,DEN,,,,,,,,,,"$4,000","$4,100",-100
2024,7,3139477,Patrick Mahomes,Patrick,Mahomes,RB,KC,,,,,,,,,,,,
2024,7,4360310,Trevor Lawrence,Trevor,Lawrence,RB,JAX,16.37,16.37,16.37,,,,,,,,,
2024,7,2468609,Taysom Hill,Taysom,Hill,RB,NO,,,,,,,,,,,,
2024,7,4429676,Tyler Goodson,Tyler,Goodson,RB,IND,2.37,3.09,2.73,4.17,13.31,0.06,0.72,6.2,0.01,"$5,100","$4,700",+400
2024,7,3915411,Ty Johnson,Ty,Johnson,RB,BUF,2.62,3.56,3.09,3.34,11.31,0.07,0.94,7.01,0.06,"$5,700","$5,200",+500
2024,7,4432577,C.J. Stroud,C.J.,Stroud,RB,HOU,17.81,17.81,17.81,,,,,,,,,
2024,7,2576336,Ameer Abdullah,Ameer,Abdullah,RB,LV,2.46,3.6,3.03,3.28,10.62,0.05,1.14,9.46,0.03,"$4,700","$4,800",-100
2024,7,3139602,D'Ernest Johnson,D'Ernest,Johnson,RB,JAX,5.7,7.4,6.55,6.78,31.22,0.16,1.7,13.83,0.05,,,
2024,7,3912547,Sam Darnold,Sam,Darnold,RB,MIN,17.03,17.03,17.03,,,,,,,,,
2024,7,4569987,Jaylen Warren,Jaylen,Warren,RB,PIT,5.35,7.29,6.32,6.88,28.35,0.14,1.94,13.61,0.07,"$5,500","$5,300",+200
2024,7,4429096,Blake Corum,Blake,Corum,RB,LAR,3.59,4.24,3.91,5.19,21.79,0.15,0.66,4.11,0.02,"$4,700",-,-
2024,7,2578570,Jacoby Brissett,Jacoby,Brissett,RB,NE,0.0,0.0,0.0,,,,,,,,,
2024,7,3126486,Deebo Samuel Sr.,Deebo,Samuel Sr.,RB,SF,10.19,14.48,12.33,,,,4.29,59.07,0.37,,,
2024,7,4243003,Ronnie Rivers,Ronnie,Rivers,RB,LAR,0.55,0.67,0.61,0.22,2.97,0.02,0.12,0.9,0.0,"$4,900",-,-
2024,7,4249836,Pierre Strong Jr.,Pierre,Strong Jr.,RB,CLE,3.11,4.91,4.01,3.4,12.56,0.05,1.8,12.52,0.06,,,
2024,7,4431452,Drake Maye,Drake,Maye,RB,NE,15.32,15.32,15.32,,,,,,,,,
2024,7,2983509,Dare Ogunbowale,Dare,Ogunbowale,RB,HOU,1.41,2.4,1.9,1.12,3.84,0.02,1.0,7.73,0.02,"$4,800","$5,400",-600
2024,7,4035671,Tyler Huntley,Tyler,Huntley,RB,MIA,13.9,13.9,13.9,,,,,,,,,
2024,7,8439,Aaron Rodgers,Aaron,Rodgers,RB,NYJ,15.63,15.63,15.63,,,,,,,,,
2024,7,4683062,Xavier Worthy,Xavier,Worthy,RB,KC,7.09,10.37,8.73,,,,3.28,45.48,0.27,,,
2024,7,3122976,Jeff Wilson Jr.,Jeff,Wilson Jr.,RB,MIA,0.26,0.38,0.32,0.15,1.23,0.01,0.11,0.81,0.0,,,
2024,7,4371733,Kenneth Gainwell,Kenneth,Gainwell,RB,PHI,2.37,3.23,2.8,2.84,11.5,0.08,0.86,6.1,0.04,"$4,800","$4,900",-100
2024,7,3116389,Samaje Perine,Samaje,Perine,RB,KC,2.72,4.18,3.45,1.88,8.61,0.06,1.46,11.13,0.06,"$5,200",-,-
2024,7,4038524,Gardner Minshew,Gardner,Minshew,RB,LV,,,,,,,,,,,,
2024,7,4241389,CeeDee Lamb,CeeDee,Lamb,RB,DAL,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2024,7,4259305,Bo Melton,Bo,Melton,RB,GB,2.31,3.4,2.86,,,,1.09,14.62,0.11,,,
2024,7,3928925,JaMycal Hasty,JaMycal,Hasty,RB,NE,1.94,2.5,2.22,3.36,11.05,0.06,0.56,4.27,0.01,"$4,200","$4,200",0
2024,7,4426388,Jameson Williams,Jameson,Williams,RB,DET,7.68,11.04,9.36,,,,3.35,54.23,0.33,,,
2024,7,14012,Andy Dalton,Andy,Dalton,RB,CAR,15.48,15.48,15.48,,,,,,,,,
2024,7,2976592,Sterling Shepard,Sterling,Shepard,RB,TB,2.66,4.15,3.4,,,,1.49,17.65,0.12,,,
2024,7,3116406,Tyreek Hill,Tyreek,Hill,RB,MIA,8.54,13.55,11.04,,,,5.02,64.16,0.31,,,
2024,7,4362477,Derius Davis,Derius,Davis,RB,LAC,0.69,0.93,0.81,,,,0.24,2.65,0.02,,,
2024,7,4366031,Tank Dell,Tank,Dell,RB,HOU,9.04,13.94,11.49,,,,4.9,67.03,0.34,,,
2024,7,3925357,Calvin Ridley,Calvin,Ridley,RB,TEN,6.64,10.16,8.4,,,,3.52,47.85,0.27,,,
2024,7,4032473,Rashid Shaheed,Rashid,Shaheed,RB,NO,,,,,,,,,,,,
2024,7,4036378,Jordan Love,Jordan,Love,RB,GB,18.16,18.16,18.16,,,,,,,,,
2024,7,4241479,Tua Tagovailoa,Tua,Tagovailoa,RB,MIA,0.0,0.0,0.0,,,,,,,,,
2024,7,4429615,Zay Flowers,Zay,Flowers,RB,BAL,9.12,14.42,11.77,,,,5.3,64.21,0.37,,,
2024,7,4426339,Spencer Rattler,Spencer,Rattler,RB,NO,11.8,11.8,11.8,,,,,,,,,
2024,7,4569682,Audric Estime,Audric,Estime,RB,DEN,2.72,2.99,2.85,4.98,18.93,0.11,0.27,2.06,0.01,"$4,100","$4,000",+100
2024,7,11252,Joe Flacco,Joe,Flacco,RB,IND,0.0,0.0,0.0,,,,,,,,,
2024,7,3728262,Ray-Ray McCloud III,Ray-Ray,McCloud III,RB,ATL,6.11,9.66,7.88,,,,3.55,39.51,0.29,,,
2024,7,4038941,Justin Herbert,Justin,Herbert,RB,LAC,15.23,15.23,15.23,,,,,,,,,
2024,7,4685720,Bryce Young,Bryce,Young,RB,CAR,0.0,0.0,0.0,,,,,,,,,
2024,7,2577417,Dak Prescott,Dak,Prescott,RB,DAL,0.0,0.0,0.0,,,,,,,,,
2024,7,4036211,DJ Turner,DJ,Turner,RB,LV,3.47,5.39,4.43,,,,1.92,25.43,0.09,,,
2024,7,3149687,Chris Brooks,Chris,Brooks,RB,GB,0.28,0.28,0.28,0.51,2.22,0.01,0.0,0.0,0.0,,,
2024,7,4570561,Eric Gray,Eric,Gray,RB,NYG,0.87,1.2,1.03,0.49,3.32,0.03,0.33,2.39,0.02,"$5,000","$4,700",+300
2024,7,16757,Derek Carr,Derek,Carr,RB,NO,0.0,0.0,0.0,,,,,,,,,
2024,7,4039274,Jonathan Ward,Jonathan,Ward,RB,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$4,000","$4,700",-700
2024,7,3046779,Jared Goff,Jared,Goff,RB,DET,15.16,15.16,15.16,,,,,,,,,
2024,7,4039607,J.J. Taylor,J.J.,Taylor,RB,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,7,4421446,Craig Reynolds,Craig,Reynolds,RB,DET,0.26,0.43,0.34,0.14,0.85,0.0,0.17,1.32,0.0,"$4,200","$4,300",-100
2024,7,4431453,Deuce Vaughn,Deuce,Vaughn,RB,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,7,4569587,Wan'Dale Robinson,Wan'Dale,Robinson,RB,NYG,7.01,12.57,9.79,,,,5.56,53.44,0.25,,,
2024,7,4248068,Aaron Shampklin,Aaron,Shampklin,RB,PIT,0.3,0.38,0.34,0.08,1.65,0.01,0.08,0.6,0.0,"$4,200","$4,000",+200
2024,7,4686472,Marvin Mims Jr.,Marvin,Mims Jr.,RB,DEN,1.61,2.53,2.07,,,,0.92,12.64,0.06,,,
2024,7,4035886,Khalil Herbert,Khalil,Herbert,RB,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,7,4037457,Travis Homer,Travis,Homer,RB,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,7,4039358,Patrick Taylor Jr.,Patrick,Taylor Jr.,RB,SF,0.41,0.58,0.49,0.58,1.99,0.01,0.16,1.14,0.01,,,
2024,7,4243004,Jordan Mims,Jordan,Mims,RB,NO,0.3,0.39,0.35,0.07,1.61,0.01,0.09,0.59,0.0,"$4,100","$4,000",+100
2024,7,4372071,Hassan Haskins,Hassan,Haskins,RB,LAC,1.03,1.28,1.15,1.82,6.24,0.03,0.24,1.69,0.01,"$4,200","$4,100",+100
2024,7,4429023,MarShawn Lloyd,MarShawn,Lloyd,RB,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$4,000","$4,000",0
2024,7,4383396,Hunter Luepke,Hunter,Luepke,RB,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,7,4597500,Adonai Mitchell,Adonai,Mitchell,RB,IND,3.49,5.31,4.4,,,,1.83,23.82,0.16,,,
2024,7,4361409,Jahan Dotson,Jahan,Dotson,RB,PHI,1.95,3.08,2.52,,,,1.13,13.43,0.09,,,
2024,7,4427600,Terrell Jennings,Terrell,Jennings,RB,NE,0.08,0.13,0.1,0.07,0.32,0.0,0.06,0.45,0.0,"$4,000","$4,000",0
2024,7,4432773,Brian Thomas Jr.,Brian,Thomas Jr.,RB,JAX,8.14,12.54,10.34,,,,4.4,58.33,0.38,,,
2024,7,2973405,Kalif Raymond,Kalif,Raymond,RB,DET,1.7,2.67,2.18,,,,0.97,11.92,0.07,,,
2024,7,2976212,Stefon Diggs,Stefon,Diggs,RB,HOU,9.91,15.92,12.92,,,,6.02,73.53,0.43,,,
2024,7,4432665,Brock Bowers,Brock,Bowers,RB,LV,,,,,,,,,,,,
2024,7,3917668,Alec Ingold,Alec,Ingold,RB,MIA,0.59,0.92,0.76,0.56,2.37,0.02,0.33,2.24,0.01,"$4,100",-,-
2024,7,4035693,Velus Jones Jr.,Velus,Jones Jr.,RB,CHI,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2024,7,4427391,Kenny McIntosh,Kenny,McIntosh,RB,SEA,0.19,0.26,0.23,0.0,1.45,0.0,0.07,0.5,0.0,"$4,200","$4,300",-100
2024,7,4428718,Tre Tucker,Tre,Tucker,RB,LV,5.22,8.19,6.71,,,,2.97,37.87,0.18,,,
2024,7,4430968,Kimani Vidal,Kimani,Vidal,RB,LAC,3.56,4.54,4.05,4.6,18.57,0.13,0.98,7.81,0.03,"$5,000","$4,000","+1,000"
2024,7,4589248,Tyreik McAllister,Tyreik,McAllister,RB,LV,0.34,0.59,0.47,0.0,0.93,0.0,0.25,2.5,0.0,,,
2024,7,2977187,Cooper Kupp,Cooper,Kupp,RB,LAR,8.26,13.32,10.79,,,,5.07,59.36,0.35,,,
2024,7,4012556,C.J. Ham,C.J.,Ham,RB,MIN,0.63,1.2,0.91,0.19,0.8,0.01,0.57,4.02,0.02,,,
2024,7,4039050,Devin Duvernay,Devin,Duvernay,RB,JAX,,,,,,,,,,,,
2024,7,4430034,Xavier Legette,Xavier,Legette,RB,CAR,6.21,10.09,8.15,,,,3.88,46.5,0.24,,,
2024,7,4061956,Ashton Dulin,Ashton,Dulin,RB,IND,1.1,1.61,1.36,,,,0.51,6.32,0.05,,,
2024,7,4427095,DeMario Douglas,DeMario,Douglas,RB,NE,6.2,10.52,8.36,,,,4.32,49.37,0.21,,,
2024,7,3915416,DJ Moore,DJ,Moore,RB,CHI,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2024,7,4243322,Jake Haener,Jake,Haener,RB,NO,0.0,0.0,0.0,,,,,,,,,
2024,7,14163,Tyrod Taylor,Tyrod,Taylor,RB,NYJ,0.0,0.0,0.0,,,,,,,,,
2024,7,3139033,Mike Boone,Mike,Boone,RB,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$4,000","$4,000",0
2024,7,4360797,Tutu Atwell,Tutu,Atwell,RB,LAR,5.2,8.07,6.63,,,,2.87,39.88,0.17,,,
2024,7,4361370,Chris Olave,Chris,Olave,RB,NO,,,,,,,,,,,,
2024,7,4372016,Jaylen Waddle,Jaylen,Waddle,RB,MIA,6.13,10.05,8.09,,,,3.92,49.14,0.2,,,
2024,7,4426515,Puka Nacua,Puka,Nacua,RB,LAR,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2024,7,4429205,Jordan Addison,Jordan,Addison,RB,MIN,7.45,11.52,9.48,,,,4.08,53.87,0.35,,,
2024,7,16002,Kyle Juszczyk,Kyle,Juszczyk,RB,SF,1.57,2.83,2.2,0.41,1.66,0.02,1.27,9.4,0.07,"$4,400","$4,100",+300
2024,7,3045169,Tim Boyle,Tim,Boyle,RB,MIA,0.0,0.0,0.0,,,,,,,,,
2024,7,3121427,Curtis Samuel,Curtis,Samuel,RB,BUF,2.32,3.59,2.95,,,,1.28,13.01,0.09,,,
2024,7,3932905,Diontae Johnson,Diontae,Johnson,RB,CAR,10.14,15.97,13.06,,,,5.84,75.43,0.42,,,
2024,7,4695404,Isaiah Davis,Isaiah,Davis,RB,NYJ,0.27,0.36,0.31,0.14,1.35,0.01,0.09,0.72,0.0,"$4,600","$4,200",+400
2024,7,4426485,Jonathan Mingo,Jonathan,Mingo,RB,CAR,3.64,5.9,4.77,,,,2.26,27.75,0.14,,,
2024,7,4431280,Troy Franklin,Troy,Franklin,RB,DEN,3.32,5.3,4.31,,,,1.98,24.2,0.13,,,
2024,7,4569618,Garrett Wilson,Garrett,Wilson,RB,NYJ,8.96,14.05,11.5,,,,5.1,64.89,0.43,,,
2024,7,4912274,Sione Vaki,Sione,Vaki,RB,DET,0.29,0.46,0.38,0.07,1.38,0.0,0.17,1.33,0.0,"$4,000","$4,000",0
2024,7,4036419,Skylar Thompson,Skylar,Thompson,RB,MIA,0.0,0.0,0.0,,,,,,,,,
2024,7,4037235,Greg Dortch,Greg,Dortch,RB,ARI,3.72,6.38,5.05,,,,2.66,27.04,0.17,,,
2024,7,4429025,Quentin Johnston,Quentin,Johnston,RB,LAC,6.07,9.36,7.72,,,,3.29,41.48,0.3,,,
2024,7,3676833,KaVontae Turpin,KaVontae,Turpin,RB,DAL,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2024,7,3916433,Jakobi Meyers,Jakobi,Meyers,RB,LV,6.34,10.75,8.55,,,,4.4,50.26,0.23,,,
2024,7,4382466,Jalen Nailor,Jalen,Nailor,RB,MIN,3.06,4.78,3.92,,,,1.71,21.31,0.13,,,
2024,7,16731,Brandin Cooks,Brandin,Cooks,RB,DAL,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
