player,season,weeks_played,avg_hits,min_hits,max_hits,std_hits,p_hit_all_weeks,p_hit_half_or_more
Ben Skowronek,2022,4,2.517,0,4,0.7054863570615665,0.045,0.923
Bennie Fowler,2017,4,2.469,0,4,0.7791270756429917,0.082,0.913
Bennie Fowler,2019,1,0.318,0,1,0.4656994739099455,0.318,1.0
Bo Melton,2023,1,0.97,0,1,0.17058722109231983,0.97,1.0
Brandin Cooks,2017,11,6.138,3,9,0.892723921489729,0.0,0.966
Brandin Cooks,2018,11,7.646,4,10,1.164767788016135,0.0,0.999
Brandin Cooks,2019,5,3.434,0,5,0.9703834293721221,0.125,0.971
Brandin Cooks,2020,10,8.843,6,10,0.8284630347818785,0.218,1.0
Brandin Cooks,2021,9,5.398,2,9,1.0562177805736845,0.001,0.97
Brandin Cooks,2022,10,5.767,2,9,1.1272581780586024,0.0,0.887
Brandin Cooks,2023,7,4.562,2,7,0.8210700335537767,0.002,0.996
Brandin Cooks,2024,4,1.22,0,4,0.6982836100038435,0.001,0.319
Brandon Aiyuk,2020,7,6.402,4,7,0.6280095540674522,0.475,1.0
Brandon Aiyuk,2021,7,5.616,3,7,0.8593858272045217,0.148,1.0
Brandon Aiyuk,2022,9,7.742,5,9,0.8633863561581222,0.183,1.0
Brandon Aiyuk,2023,11,8.587,6,11,0.9275942000681119,0.013,1.0
Brandon Aiyuk,2024,3,1.362,1,3,0.5029473133440521,0.011,1.0
Brandon Coleman,2017,1,0.22,0,1,0.41424630354415964,0.22,1.0
Brandon Johnson,2023,4,2.841,1,4,0.7705316346523353,0.198,0.968
Brandon LaFell,2017,10,5.996,2,9,1.2649047394962198,0.0,0.887
Brandon Marshall,2017,1,0.68,0,1,0.466476151587624,0.68,1.0
Brandon Powell,2018,1,0.999,0,1,0.03160696125855822,0.999,1.0
Brandon Powell,2022,1,0.511,0,1,0.4998789853554558,0.511,1.0
Brandon Powell,2023,2,1.662,0,2,0.485547114088839,0.668,0.994
Brandon Zylstra,2019,1,0.999,0,1,0.03160696125855822,0.999,1.0
Braxton Berrios,2020,3,2.169,0,3,0.7512915545911586,0.366,0.985
Braxton Berrios,2021,2,1.619,0,2,0.503824374162267,0.628,0.991
Braxton Berrios,2022,1,0.141,0,1,0.3480215510568275,0.141,1.0
Braxton Berrios,2023,1,0.847,0,1,0.3599874997829786,0.847,1.0
Braxton Miller,2017,1,0.87,0,1,0.33630343441600474,0.87,1.0
Breshad Perriman,2017,1,0.515,0,1,0.49977494935220584,0.515,1.0
Breshad Perriman,2019,6,5.762,4,6,0.44199095013359724,0.769,1.0
Breshad Perriman,2020,4,2.235,1,4,0.44246468785655657,0.003,0.995
Breshad Perriman,2021,1,0.907,0,1,0.2904324362050492,0.907,1.0
Bruce Ellington,2017,4,2.374,0,4,0.8025733611328001,0.082,0.879
Bruce Ellington,2018,2,1.196,0,2,0.6910745256482834,0.356,0.84
Bryan Edwards,2021,2,1.217,0,2,0.45156505622113857,0.234,0.983
Byron Pringle,2021,3,2.932,2,3,0.251745903640953,0.932,1.0
Calvin Ridley,2018,10,5.804,3,9,1.1685820467558108,0.0,0.872
Calvin Ridley,2019,10,7.024,3,10,0.95258805367273,0.002,0.998
Calvin Ridley,2020,10,7.616,5,9,0.8164214597865491,0.0,1.0
Calvin Ridley,2021,2,1.121,0,2,0.34979851343309054,0.129,0.992
Calvin Ridley,2023,11,7.049,5,10,0.8477021882713293,0.0,1.0
Calvin Ridley,2024,13,9.505,6,12,1.0430604009356312,0.0,1.0
Cam Sims,2020,4,3.386,1,4,0.5770649876746986,0.433,0.999
Cedric Tillman,2023,4,2.81,1,4,0.7549172140042907,0.166,0.958
Cedric Tillman,2024,4,3.547,2,4,0.5270588202468488,0.562,1.0
CeeDee Lamb,2020,10,6.259,4,9,0.8401898594960545,0.0,0.987
CeeDee Lamb,2021,7,5.22,3,7,0.6779380502671317,0.009,1.0
CeeDee Lamb,2022,15,11.26,8,14,1.12,0.0,1.0
CeeDee Lamb,2023,14,9.129,7,12,0.9178011767262014,0.0,1.0
CeeDee Lamb,2024,12,7.955,6,10,0.8443784696449809,0.0,1.0
Chad Beebe,2020,1,0.991,0,1,0.09444045743218316,0.991,1.0
Chad Williams,2018,3,1.882,0,3,0.7183842982693873,0.185,0.979
Chase Claypool,2020,9,5.496,2,9,1.2263702540423915,0.001,0.941
Chase Claypool,2021,8,3.986,2,6,0.7847318013181319,0.0,0.741
Chase Claypool,2022,7,4.457,1,7,1.1384862757187721,0.025,0.96
Chester Rogers,2017,2,1.716,1,2,0.45093680266751346,0.716,1.0
Chester Rogers,2018,5,4.502,1,5,0.6371781540511257,0.572,0.999
Chester Rogers,2019,1,0.338,0,1,0.4730285403651666,0.338,1.0
Chester Rogers,2021,1,0.976,0,1,0.15304901175767194,0.976,1.0
Chris Conley,2018,5,2.574,1,5,0.8309777373672533,0.011,0.928
Chris Conley,2019,9,7.117,2,9,1.0522884585511711,0.075,0.998
Chris Conley,2020,2,1.794,0,2,0.426103273866794,0.803,0.991
Chris Godwin,2017,4,3.981,3,4,0.13652472303579308,0.981,1.0
Chris Godwin,2018,8,5.736,4,8,0.7735011312208923,0.005,1.0
Chris Godwin,2019,11,7.968,5,11,0.9586323591450479,0.006,1.0
