season,week,player_id,player,dk_position,fd_position,dk_salary,fd_salary
2021,1,DAL,Dallas Cowboys,DST,D,2500,3400
2021,1,dak-prescott,Dak Prescott,QB,QB,6200,7600
2021,1,corey-clement,Corey Clement,RB,RB,4000,4600
2021,1,ezekiel-elliott,Ezekiel Elliott,RB,RB,6700,8000
2021,1,tony-pollard,Tony Pollard,RB,RB,5800,5100
2021,1,blake-jarwin,Blake Jarwin,TE,TE,3400,4500
2021,1,dalton-schultz,Dalton Schultz,TE,TE,3200,4800
2021,1,jeremy-sprinkle,Jeremy Sprinkle,TE,TE,2500,4100
2021,1,amari-cooper,Amari Cooper,WR,WR,6000,6600
2021,1,simi-fehoko,Simi Fehoko,WR,WR,3000,4500
2021,1,michael-gallup,Michael Gallup,WR,WR,4900,5800
2021,1,ceedee-lamb,CeeDee Lamb,WR,WR,5700,6300
2021,1,ced-wilson,Ced Wilson,WR,WR,3000,4700
2021,1,jaydon-mickens,Jaydon Mickens,WR,WR,3000,4500
2021,1,TB,Tampa Bay Buccaneers,DST,D,4000,4000
2021,1,tom-brady,Tom Brady,QB,QB,6700,7800
2021,1,giovani-bernard,Giovani Bernard,RB,RB,4200,4900
2021,1,leonard-fournette,Leonard Fournette,RB,RB,4900,6400
2021,1,ronald-jones,Ronald Jones,RB,RB,5100,5900
2021,1,cameron-brate,Cameron Brate,TE,TE,3600,4500
2021,1,rob-gronkowski,Rob Gronkowski,TE,TE,3900,5200
2021,1,o-j-howard,O.J. Howard,TE,TE,3300,4900
2021,1,antonio-brown,Antonio Brown,WR,WR,5800,5700
2021,1,mike-evans,Mike Evans,WR,WR,6500,7600
2021,1,chris-godwin,Chris Godwin,WR,WR,6200,7200
2021,1,tyler-johnson,Tyler Johnson,WR,WR,3000,4600
2021,1,scott-miller,Scott Miller,WR,WR,4100,4800
2021,1,ARI,Arizona Cardinals,DST,D,2100,3400
2021,1,kyler-murray,Kyler Murray,QB,QB,7600,8400
2021,1,james-conner,James Conner,RB,RB,4500,5500
2021,1,chase-edmonds,Chase Edmonds,RB,RB,4600,5900
2021,1,jonathan-ward,Jonathan Ward,RB,RB,4000,4500
2021,1,mekhi-sargent,Mekhi Sargent,RB,RB,4000,4500
2021,1,darrell-daniels,Darrell Daniels,TE,TE,2500,4200
2021,1,demetrius-harris,Demetrius Harris,TE,TE,2500,4000
2021,1,maxx-williams,Maxx Williams,TE,TE,2700,4300
2021,1,a-j-green,A.J. Green,WR,WR,3800,5400
2021,1,deandre-hopkins,DeAndre Hopkins,WR,WR,7800,8200
2021,1,christian-kirk,Christian Kirk,WR,WR,4500,5200
2021,1,rondale-moore,Rondale Moore,WR,WR,3000,4900
2021,1,TEN,Tennessee Titans,DST,D,2300,3500
2021,1,ryan-tannehill,Ryan Tannehill,QB,QB,6500,7700
2021,1,jeremy-mcnichols,Jeremy McNichols,RB,RB,4000,4500
2021,1,khari-blasingame,Khari Blasingame,RB,RB,4000,4500
2021,1,derrick-henry,Derrick Henry,RB,RB,8800,8900
