season,season_type,week,fantasypros_id,player_name,team_abbr,Rank,Player,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
2024,REG,9,22916,Zay Flowers,BAL,2,Zay Flowers(BAL),1,5,127,25.4,67,13.4,62,12.4,60,12.0,31,6.2,1,6,31.6%,5,0,2,4,3,1,1,1,53
2024,REG,9,15665,Demarcus Robinson,SF,3,Demarcus Robinson(SF),1,6,94,15.7,93,15.5,142,23.7,1,0.2,2,0.3,0,9,21.4%,6,0,1,4,2,1,0,0,39
2024,REG,9,23072,Garrett Wilson,NYJ,4,Garrett Wilson(NYJ),1,9,90,10.0,51,5.7,59,6.6,39,4.3,5,0.6,0,10,31.3%,9,0,0,2,2,0,0,0,26
2024,REG,9,11606,DeAndre Hopkins,BAL,5,DeAndre Hopkins(BAL),1,8,86,10.8,59,7.4,64,8.0,27,3.4,13,1.6,1,9,21.4%,8,0,2,3,1,1,0,0,35
2024,REG,9,23123,Quentin Johnston,LAC,6,Quentin Johnston(LAC),1,4,118,29.5,54,13.5,74,18.5,64,16.0,4,1.0,1,5,19.2%,4,0,0,3,3,1,1,1,66
2024,REG,9,17253,Courtland Sutton,DEN,7,Courtland Sutton(DEN),1,7,122,17.4,88,12.6,132,18.9,34,4.9,8,1.1,0,10,30.3%,7,0,2,5,3,1,0,0,33
2024,REG,9,12123,Davante Adams,LA,8,Davante Adams(LAR),1,7,91,13.0,51,7.3,107,15.3,40,5.7,11,1.6,0,11,34.4%,7,0,0,4,1,1,0,0,37
2024,REG,10,19788,Ja'Marr Chase,CIN,1,Ja'Marr Chase(CIN),1,11,264,24.0,161,14.6,243,22.1,103,9.4,9,0.8,0,17,31.5%,11,0,2,8,4,2,2,2,70
2024,REG,10,17528,Marquez Valdes-Scantling,SEA,2,Marquez Valdes-Scantling(SEA),1,3,109,36.3,86,28.7,86,28.7,23,7.7,14,4.7,0,3,14.3%,3,0,1,2,2,2,2,1,67
2024,REG,10,17258,Calvin Ridley,TEN,3,Calvin Ridley(TEN),1,5,84,16.8,71,14.2,149,29.8,13,2.6,1,0.2,0,9,39.1%,5,0,1,4,1,1,1,0,41
2024,REG,10,19801,Tylan Wallace,BAL,4,Tylan Wallace(BAL),1,3,115,38.3,24,8.0,24,8.0,91,30.3,81,27.0,0,3,9.4%,3,0,0,3,2,1,1,1,84
2024,REG,10,22963,George Pickens,DAL,5,George Pickens(DAL),1,5,91,18.2,66,13.2,124,24.8,25,5.0,21,4.2,2,7,26.9%,6,1,1,4,2,1,0,0,34
