season,season_type,week,fantasypros_id,player_name,team_abbr,Rank,Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,PCT,FL,G,FPTS,FPTS/G,ROST %,merge_name,merge_key,season_dfs,week_dfs,player_id,player,dk_position,fd_position,team,opponent,dk_salary,fd_salary,dk_fpts,fd_fpts,merge_name_dfs
2017,REG,3,13981,stefon diggs,NE,5,Stefon Diggs(NE),2,2,1.0,0,11.5,0,0.5,0,0.0,0,1,8.3,8.3,0.846,stefon diggs,stefon diggs_2017_3,2017,3,nan,Stefon Diggs,WR,WR,MIN,Tampa Bay Buccaneers,6500,6500,40.3,33.3,stefon diggs
2017,REG,3,15528,michael thomas,FA,6,Michael Thomas(FA),2,2,1.0,0,8.5,0,0.667,0,0.0,0,1,7.7,7.7,0.007,michael thomas,michael thomas_2017_3,2017,3,nan,Michael Thomas,WR,WR,NO,Carolina Panthers,7000,7500,21.7,18.2,michael thomas
2017,REG,3,9681,dez bryant,FA,7,Dez Bryant(FA),1,1,1.0,0,15.0,0,1.0,0,0.0,0,1,7.5,7.5,0.026,dez bryant,dez bryant_2017_3,2017,3,nan,Dez Bryant,WR,WR,DAL,Arizona Cardinals,6800,7800,9.2,8.2,dez bryant
2017,REG,3,9808,antonio brown,FA,8,Antonio Brown(FA),2,2,1.0,0,7.5,0,0.333,0,0.0,0,1,7.5,7.5,0.01,antonio brown,antonio brown_2017_3,2017,3,nan,Antonio Brown,WR,WR,PIT,Chicago Bears,9000,9000,30.0,22.0,antonio brown
2017,REG,4,15629,william fuller v,FA,1,William Fuller V(FA),2,2,1.0,0,13.0,0,0.5,0,0.0,0,1,14.6,14.6,0.0,william fuller v,william fuller v_2017_4,,,,,,,,,,,,,
2017,REG,4,13915,devin funchess,FA,2,Devin Funchess(FA),2,3,0.667,0,13.0,0,1.0,0,0.0,0,1,14.6,14.6,0.0,devin funchess,devin funchess_2017_4,2017,4,nan,Devin Funchess,WR,WR,CAR,New England Patriots,5300,5400,26.0,22.5,devin funchess
2017,REG,4,9320,jordy nelson,FA,3,Jordy Nelson(FA),2,2,1.0,0,6.0,0,0.333,0,0.0,0,1,13.2,13.2,0.001,jordy nelson,jordy nelson_2017_4,2017,4,nan,Jordy Nelson,WR,WR,GB,Chicago Bears,7700,8400,23.5,21.5,jordy nelson
2017,REG,4,9383,larry fitzgerald,FA,4,Larry Fitzgerald(FA),2,2,1.0,0,11.0,0,0.667,0,0.0,0,1,8.2,8.2,0.008,larry fitzgerald,larry fitzgerald_2017_4,2017,4,nan,Larry Fitzgerald,WR,WR,ARI,San Francisco 49ers,6100,6700,13.2,11.2,larry fitzgerald
2017,REG,4,12125,donte moncrief,FA,5,Donte Moncrief(FA),1,1,1.0,0,18.0,0,1.0,0,0.0,0,1,7.8,7.8,0.0,donte moncrief,donte moncrief_2017_4,2017,4,nan,Donte Moncrief,WR,WR,IND,Seattle Seahawks,3500,5300,12.0,10.5,donte moncrief
2017,REG,4,16433,cooper kupp,SEA,6,Cooper Kupp(SEA),2,2,1.0,0,8.5,0,0.4,0,0.0,0,1,7.7,7.7,0.831,cooper kupp,cooper kupp_2017_4,2017,4,nan,Cooper Kupp,WR,WR,LA,Dallas Cowboys,4300,5600,17.0,14.5,cooper kupp
2017,REG,4,9479,mike wallace,FA,7,Mike Wallace(FA),1,3,0.333,0,16.0,0,0.5,0,0.0,0,1,7.6,7.6,0.0,mike wallace,mike wallace_2017_4,2017,4,nan,Mike Wallace,WR,WR,BAL,Pittsburgh Steelers,3500,5200,17.5,14.5,mike wallace
2017,REG,4,12123,davante adams,LA,8,Davante Adams(LAR),2,3,0.667,0,6.5,0,0.5,0,0.0,0,1,7.3,7.3,0.965,davante adams,davante adams_2017_4,2017,4,nan,Davante Adams,WR,WR,GB,Chicago Bears,5900,7100,9.3,8.3,davante adams
2017,REG,5,12123,davante adams,LA,1,Davante Adams(LAR),2,3,0.667,0,11.0,0,0.5,0,0.0,0,1,14.2,14.2,0.965,davante adams,davante adams_2017_5,2017,5,nan,Davante Adams,WR,WR,GB,Dallas Cowboys,5800,6900,25.6,22.1,davante adams
2017,REG,5,11459,cole beasley,FA,2,Cole Beasley(FA),2,3,0.667,0,3.5,0,0.6,0,0.0,0,1,12.7,12.7,0.0,cole beasley,cole beasley_2017_5,2017,5,nan,Cole Beasley,WR,WR,DAL,Green Bay Packers,4100,5000,18.3,16.3,cole beasley
2017,REG,5,11606,deandre hopkins,BAL,3,DeAndre Hopkins(BAL),2,2,1.0,0,3.5,0,0.667,0,0.0,0,1,12.7,12.7,0.167,deandre hopkins,deandre hopkins_2017_5,,,,,,,,,,,,,
2017,REG,5,15629,william fuller v,FA,4,William Fuller V(FA),1,1,1.0,5,9.0,0,0.333,1,1.0,0,1,7.4,7.4,0.0,william fuller v,william fuller v_2017_5,,,,,,,,,,,,,
2017,REG,5,12231,john brown,FA,5,John Brown(FA),1,1,1.0,0,13.0,0,1.0,0,0.0,0,1,7.3,7.3,0.0,john brown,john brown_2017_5,2017,5,nan,John Brown,WR,WR,ARI,Philadelphia Eagles,5100,6200,10.6,9.6,john brown
2017,REG,5,9068,brandon tate,FA,6,Brandon Tate(FA),1,1,1.0,0,12.0,0,0.25,0,0.0,0,1,7.2,7.2,0.0,brandon tate,brandon tate_2017_5,2017,5,nan,Brandon Tate,WR,WR,BUF,Cincinnati Bengals,3000,4600,10.5,9.5,brandon tate
