season,season_type,week,fantasypros_id,player_name,team_abbr,Rank,Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,PCT,FL,G,FPTS,FPTS/G,ROST %
2017,REG,5,9320,Jordy Nelson,FA,7,Jordy Nelson(FA),1,2,50.0%,0,10.0,0,33.3%,0,0%,0,1,7.0,7.0,0.1%
2017,REG,5,12107,De'Anthony Thomas,FA,8,De'Anthony Thomas(FA),1,1,100.0%,0,10.0,0,50.0%,0,0%,0,1,7.0,7.0,0.0%
2017,REG,6,9588,Ted Ginn Jr.,FA,1,Ted Ginn Jr.(FA),2,2,100.0%,0,16.5,0,100.0%,0,0%,0,1,9.3,9.3,0.0%
2017,REG,6,12123,Davante Adams,LA,2,Davante Adams(LAR),2,3,66.7%,0,10.5,0,50.0%,0,0.0%,0,1,8.1,8.1,96.5%
2017,REG,6,12231,John Brown,FA,3,John Brown(FA),1,1,100.0%,0,17.0,0,50.0%,0,0%,0,1,7.7,7.7,0.0%
2017,REG,6,11611,Kenny Stills,FA,4,Kenny Stills(FA),1,1,100.0%,0,11.0,0,33.3%,0,0%,0,1,7.1,7.1,0.0%
2017,REG,6,9383,Larry Fitzgerald,FA,5,Larry Fitzgerald(FA),1,1,100.0%,0,11.0,0,50.0%,0,0%,0,1,7.1,7.1,0.8%
2017,REG,6,15511,Josh Doctson,FA,6,Josh Doctson(FA),1,2,50.0%,0,11.0,0,50.0%,0,0%,0,1,7.1,7.1,0.0%
2017,REG,6,12128,Jarvis Landry,FA,7,Jarvis Landry(FA),1,1,100.0%,0,7.0,0,33.3%,0,0%,0,1,6.7,6.7,7.1%
2017,REG,6,9186,DeSean Jackson,FA,8,DeSean Jackson(FA),1,1,100.0%,0,4.0,0,25.0%,0,0%,0,1,6.4,6.4,0.6%
2017,REG,7,15688,Robbie Chosen,SF,1,Robbie Chosen(SF),1,1,100.0%,0,18.0,0,100.0%,0,0%,0,1,7.8,7.8,0.0%
2017,REG,7,16433,Cooper Kupp,SEA,2,Cooper Kupp(SEA),1,5,20.0%,0,18.0,0,83.3%,0,0%,0,1,7.8,7.8,83.1%
2017,REG,7,9699,Brandon LaFell,FA,3,Brandon LaFell(FA),2,3,66.7%,0,7.5,0,100.0%,0,0%,0,1,7.5,7.5,0.0%
2017,REG,7,15654,Chris Moore,WAS,4,Chris Moore(WAS),1,3,33.3%,0,13.0,0,100.0%,0,0%,0,1,7.3,7.3,0.0%
2017,REG,7,12119,Mike Evans,TB,5,Mike Evans(TB),1,1,100.0%,0,12.0,0,50.0%,0,0%,0,1,7.2,7.2,97.6%
2017,REG,7,12122,Brandin Cooks,NO,6,Brandin Cooks(NO),1,1,100.0%,0,11.0,0,50.0%,0,0%,0,1,7.1,7.1,4.8%
2017,REG,7,9681,Dez Bryant,FA,7,Dez Bryant(FA),3,3,100.0%,0,3.3,0,60.0%,0,0%,0,1,7.0,7.0,2.6%
